bc_short_name,bc_id,bc_short_name_id,parent_bc_id,bc_categories,bc_synonyms,result_scales,bc_definition,bc_hierarchy_level,bc_hierarchy_full,dec_n
Blistering Indicator,C122195,Blistering Indicator (C122195),C119241,Symptom Indicator;Skin Response;Reproductive Findings,BLISTIND,Nominal,Specifies whether blistering occurred.,0,Blistering Indicator (C122195),6
Blood Pressure,C54706,Blood Pressure (C54706),C49672,Vital Signs;Blood Pressure,BP,,The pressure of the circulating blood against the walls of the blood vessels.,0,Blood Pressure (C54706),0
Body Surface Area,C25157,Body Surface Area (C25157),C19332,Vital Signs;Body Measurements,BSA,Quantitative,"A measure of the 2-dimensional extent of the body surface (i.e., the skin). Body surface area (BSA) can be calculated by mathematical formula or from a chart that relates height to weight. BSA is often an important factor in dosing.",0,Body Surface Area (C25157),3
Bone Marrow Disease Involvement Indicator,C135477,Bone Marrow Disease Involvement Indicator (C135477),C181043,Oncology Standards;Disease Response;Disease Response Criteria;Disease Response and Clinical Classification;RS;LUGANO CLASSIFICATION,BMIVLIND;Bone Marrow Involvement Indicator,Nominal,An indication as to whether disease is present in the bone marrow.,0,Bone Marrow Disease Involvement Indicator (C135477),5
Child-Pugh Clinical Classification,C121007,Child-Pugh Clinical Classification (C121007),C118969,QRS;Clinical or Research Assessment Classification;Child-Pugh Clinical Classification;CHILD-PUGH CLASSIFICATION;Child-Pugh;CPS01;Child-Pugh Clinical Classification Question,Child-Pugh;CHILD-PUGH CLASSIFICATION;Child-Pugh Classification;Child-Pugh Score;CPS01,,"A standardized rating scale used to assess the severity of liver cirrhosis and determine the prognosis, the required strength of treatment, and the necessity of liver transplantation. This instrument uses the following clinical and lab criteria: encephalopathy grade, ascites, bilirubin, albumin, and prothrombin index.",0,Child-Pugh Clinical Classification (C121007),3
Childbearing Potential,C106508,Childbearing Potential (C106508),C19332,Reproductive Findings,CHILDPOT,Nominal,An indicator as to whether the female subject has the potential to become pregnant.,0,Childbearing Potential (C106508),2
Clinical or Research Functional Assessment Tool,C222260,Clinical or Research Functional Assessment Tool (C222260),,QRS;Functional Assessment,,,Any evaluation or assessment tool used to ascertain the physical capacities or deficits of an individual.,0,Clinical or Research Functional Assessment Tool (C222260),0
Cognitive Assessment Tool,C222259,Cognitive Assessment Tool (C222259),,QRS;Functional Assessment,,,Any evaluation or assessment tool used to ascertain the cognitive capacities or deficits of an individual.,0,Cognitive Assessment Tool (C222259),0
Combat Exposure Scale Questionnaire,C132532,Combat Exposure Scale Questionnaire (C132532),C91105,QRS;Clinical or Research Assessment Questionnaire;Combat Exposure Scale Questionnaire;CES;CES01,CES;CES01,,"A standardized 7-item self-report scale that was developed by Keane et al in 1989 to measure combat exposure. The instrument is derived from Figley's combat scale (1980), with additional items included by consensus of a group of clinical psychologists with experience in the assessment and treatment of combat-related PTSD. The items are weighted according to the severity of the combat experience.",0,Combat Exposure Scale Questionnaire (C132532),3
Condom Use for Most Recent Sexual Intercourse Indicator,C181526,Condom Use for Most Recent Sexual Intercourse Indicator (C181526),C25180,Reproductive Findings;Clinical Findings Indicator;Indicator,CNDMIND;Condom Use Most Recent Sex Interc Ind,Nominal,An indication as to whether a condom was used during the most recent occurrence of sexual intercourse.,0,Condom Use for Most Recent Sexual Intercourse Indicator (C181526),2
Confluent Tumor Masses Assessment,C225437,Confluent Tumor Masses Assessment (C225437),C90479,Oncology Standards;Tumor/Lesion Identification;TU;RECIST 1.1,TUMERGE;Tumor Merged,Nominal,An assessment as to whether multiple tumors have coalesced into one tumor.,1,Tumor Examination (C90479); Confluent Tumor Masses Assessment (C225437),10
Congenital Abnormality Indicator,C122187,Congenital Abnormality Indicator (C122187),C93491,Reproductive Findings;Clinical Findings Indicator;Indicator,CABNIND;Abnormal Indicator,Nominal,Specifies whether any abnormality was present at birth or during the neonatal period.,0,Congenital Abnormality Indicator (C122187),2
Death Certification Indicator,C135385,Death Certification Indicator (C135385),C25180,Death Diagnosis and Details;Indicator,DTHCOIND;Death Certificate Obtained Indicator,Nominal,An indication as to whether a death certificate was obtained.,0,Death Certification Indicator (C135385),2
Death Expected Indicator,C184505,Death Expected Indicator (C184505),C93565,Death Diagnosis and Details;Expected Indicator,DTHEXIND,Nominal,An indication as to whether the death was expected.,0,Death Expected Indicator (C184505),2
Death Witnessed Indicator,C170571,Death Witnessed Indicator (C170571),C25180,Death Diagnosis and Details;Indicator,DTHWIND,Nominal,An indication as to whether the death event was witnessed by another individual.,0,Death Witnessed Indicator (C170571),2
Discharge Indicator,C154888,Discharge Indicator (C154888),C25180,Reproductive Findings;Clinical Findings Indicator;Indicator,DSCHGIND,Nominal,An indication as to whether there is the presence of discharge.,0,Discharge Indicator (C154888),4
Disease Indication Under Study Contributed to Death Indicator,C199843,Disease Indication Under Study Contributed to Death Indicator (C199843),C25180,Death Diagnosis and Details;Indicator,CUSCDIND;Cond Under Study Contrib to Death Ind;Condition Under Study Contributed to Death Indicator,Nominal,An indication as to whether the disease or condition under study contributed to the cause of death.,0,Disease Indication Under Study Contributed to Death Indicator (C199843),2
Eastern Cooperative Oncology Group Performance Status Clinical Classification,C102116,Eastern Cooperative Oncology Group Performance Status Clinical Classification (C102116),C118969,QRS;Clinical or Research Assessment Classification;Eastern Cooperative Oncology Group Performance Status Clinical Classification;ECOG;ECOG1,ECOG,,"A standardized classification scale, published by Oken et al. in 1982 for the Eastern Cooperative Oncology Group (ECOG), that utilizes a six point rating scale to assess a patient's functional status.",0,Eastern Cooperative Oncology Group Performance Status Clinical Classification (C102116),3
Ecchymosis Indicator,C154884,Ecchymosis Indicator (C154884),C119241,Reproductive Findings;Clinical Findings Indicator;Indicator,ECCHYIND,Nominal,An indication as to whether ecchymosis is present.,0,Ecchymosis Indicator (C154884),4
Edema Indicator,C154885,Edema Indicator (C154885),C119241,Reproductive Findings;Clinical Findings Indicator;Indicator,EDEMAIND,Nominal,An indication as to whether edema is present.,0,Edema Indicator (C154885),4
Erythema Indicator,C154877,Erythema Indicator (C154877),C119241,Reproductive Findings;Clinical Findings Indicator;Indicator,ERYTHIND;Redness Indicator,Nominal,An indication as to whether erythema is present.,0,Erythema Indicator (C154877),4
EudraVigilance Sender Organization Name,C126090,EudraVigilance Sender Organization Name (C126090),C93874,Trial Summary,EVSNDORG,Nominal,The name of the group or institution that is transmitting an adverse drug reaction report to the EudraVigilance system.,0,EudraVigilance Sender Organization Name (C126090),4
Fetal Head Circumference,C158297,Fetal Head Circumference (C158297),C81255,Vital Signs;Body Measurements;Fetal Body Measurements,FTHDCIRC,Quantitative,A circumferential measurement of the fetal head at the widest point.,0,Fetal Head Circumference (C158297),3
Fontanelle Closure Indicator,C154909,Fontanelle Closure Indicator (C154909),C181043,Musculoskeletal Finding;Clinical Findings Indicator,FOCLOIND,Nominal,An indication as to whether the fontanelle is closed.,0,Fontanelle Closure Indicator (C154909),4
Forced Expiratory Volume in 1 Second,C38084,Forced Expiratory Volume in 1 Second (C38084),C38081,Respiratory System Findings;Pulmonary Function Test,FEV1;FEV1%VC;Forced Expiratory Volume 1 Test;PFT/FEV1;Pulmonary Function Test/Forced Expiratory Volume 1,Quantitative,"A test of lung function, the FEV1 is the volume exhaled during the first second of a forced expiratory maneuver started from the level of total lung capacity. It is the most frequently used index for assessing bronchoconstriction or bronchodilatation.",0,Forced Expiratory Volume in 1 Second (C38084),3
Gravida,C73435,Gravida (C73435),C19332,Reproductive Findings,GRAVIND;PREGNANT;Gravida Indicator,Nominal,"A woman who currently is pregnant or has been in the past, irrespective of the pregnancy outcome.",0,Gravida (C73435),2
Has Menstrual Periods Indicator,C184708,Has Menstrual Periods Indicator (C184708),C25180,Reproductive Findings;Clinical Findings Indicator;Indicator,HMPIND,Nominal,An indication as to whether the subject experiences menstrual cycles.,0,Has Menstrual Periods Indicator (C184708),2
Hematoma Indicator,C179823,Hematoma Indicator (C179823),C181043,Clinical Findings Indicator;Indicator;Urinary System Findings,HEMAIND,Nominal,An indication as to whether a hematoma is present.,0,Hematoma Indicator (C179823),6
Hemoglobin A1C to Hemoglobin Ratio Measurement,C111207,Hemoglobin A1C to Hemoglobin Ratio Measurement (C111207),C64848,Laboratory Tests;Hematology Tests;Hemoglobin Measurements,Hemoglobin A1C/Hemoglobin;HBA1CHGB,Quantitative,The determination of the ratio of the glycated hemoglobin A1C to total hemoglobin present in a sample. The measurement may be expressed as a ratio or percentage.,0,Hemoglobin A1C to Hemoglobin Ratio Measurement (C111207),5
Hospital Medical Record Indicator,C135386,Hospital Medical Record Indicator (C135386),C25180,Death Diagnosis and Details;Indicator,HMROIND;Hospital Medical Record Obtained Ind;Hospital Medical Record Obtained Indicator,Nominal,An indication as to whether medical records were obtained from the hospital.,0,Hospital Medical Record Indicator (C135386),2
Hospitalized Due to Pregnancy Complication Indicator,C176360,Hospitalized Due to Pregnancy Complication Indicator (C176360),C25180,Reproductive Findings;Clinical Findings Indicator;Indicator,HSPGCIND;Hosp Due to Pregnancy Complication Ind,Nominal,An indication as to whether the individual was hospitalized due to a pregnancy complication.,0,Hospitalized Due to Pregnancy Complication Indicator (C176360),2
Hospitalized at Time of Death Indicator,C198258,Hospitalized at Time of Death Indicator (C198258),C25180,Death Diagnosis and Details;Indicator,HSDTHIND,Nominal,An indication as to whether the subject was hospitalized at the time of death.,0,Hospitalized at Time of Death Indicator (C198258),2
Individual Surgically Sterile Indicator,C189355,Individual Surgically Sterile Indicator (C189355),C25180,Reproductive Findings;Clinical Findings Indicator;Indicator,SRGSTIND;Surgically Sterile Indicator,Nominal,An indication as to whether the individual has been surgically sterilized.,0,Individual Surgically Sterile Indicator (C189355),2
Induced Abortion Indicator,C156588,Induced Abortion Indicator (C156588),C25180,Reproductive Findings;Clinical Findings Indicator;Indicator,INABOIND,Nominal,An indication as to whether the female subject has had an induced abortion procedure.,0,Induced Abortion Indicator (C156588),2
Infertility Indicator,C189356,Infertility Indicator (C189356),C25180,Reproductive Findings;Clinical Findings Indicator;Indicator,INFRTIND,Nominal,An indication as to whether the individual has experienced infertility.,0,Infertility Indicator (C189356),2
Irregular Menstrual Periods Indicator,C189353,Irregular Menstrual Periods Indicator (C189353),C25180,Reproductive Findings;Clinical Findings Indicator;Indicator,IRRMPIND,Nominal,An indication as to whether the individual has experienced irregular menstrual periods.,0,Irregular Menstrual Periods Indicator (C189353),2
Kurtzke Functional Systems Scores Clinical Classification,C112522,Kurtzke Functional Systems Scores Clinical Classification (C112522),C118969,QRS;Clinical or Research Assessment Classification;Kurtzke Functional Systems Scores Clinical Classification;KFSS;KFSS1,KFSS,,"A standardized rating scale developed by John F. Kurtzke in 1983 to measure the level of functioning in people with multiple sclerosis based on a standard neurological examination. The questionnaire contains 7 functional system; pyramidal functions, cerebellar functions, brainstem functions, sensory function, bowel and bladder function, visual function, and cerebral (or mental) functions. The functional system (FS) scores collected from this questionnaire are used in conjunction with observations and information regarding ambulation and the use of assistive devices to rate the EDSS.",0,Kurtzke Functional Systems Scores Clinical Classification (C112522),3
Lean Body Mass to Total Body Mass Ratio Measurement,C139219,Lean Body Mass to Total Body Mass Ratio Measurement (C139219),C19332,Vital Signs;Mass Measurement,LBMTBMR,Quantitative,The proportion of an individual's lean body mass to his total body weight; lean body mass is calculated by subtracting body fat from total body weight.,0,Lean Body Mass to Total Body Mass Ratio Measurement (C139219),3
Live Birth Indicator,C156589,Live Birth Indicator (C156589),C25180,Reproductive Findings;Clinical Findings Indicator;Indicator,BRTLVIND,Nominal,An indication as to whether the subject has delivered live-born offspring.,0,Live Birth Indicator (C156589),2
Location of Death,C124331,Location of Death (C124331),C25341,Death Diagnosis and Details;Location,LOCDTH;Location of Death,Nominal,The physical place at which the subject ceased to live.,0,Location of Death (C124331),2
Longest Diameter,C96684,Longest Diameter (C96684),C25285,Oncology Standards;Tumor/Lesion Results;TR;RECIST 1.1,LDIAM,Quantitative,The longest possible length of a straight line passing through the center of a circular or spheroid object that connects two points on the circumference.,0,Longest Diameter (C96684),10
Longest Perpendicular,C96685,Longest Perpendicular (C96685),C96557,Oncology Standards;Tumor/Lesion Results;TR;RECIST 1.1,LPERP;Short Axis Diameter,Quantitative,The longest possible straight line or plane through a body or figure that is at a right angle to a given line or plane.,0,Longest Perpendicular (C96685),10
Lymph Node State,C124448,Lymph Node State (C124448),C135508,Oncology Standards;Tumor/Lesion Results;TR;RECIST 1.1,LNSTATE,Nominal,A condition or state of a lymph node at a particular time.,0,Lymph Node State (C124448),9
Mass Indicator,C154886,Mass Indicator (C154886),C181043,Reproductive Findings;Clinical Findings Indicator;Indicator,MASSIND,Nominal,An indication as to whether a mass is present.,0,Mass Indicator (C154886),4
Matted Tumor Mass Present,C94525,Matted Tumor Mass Present (C94525),C82547,Abnormal Finding;Tumor Identification,,Nominal,A finding indicating the presence of a malignant tumor mass that is formed following the spread of a malignant tumor to two or more adjacent lymph nodes and the resulting fusion and enlargement of the lymph nodes.,0,Matted Tumor Mass Present (C94525),10
Menarche Indicator,C204694,Menarche Indicator (C204694),C25180,Reproductive Findings;Clinical Findings Indicator;Indicator,MENARIND,Nominal,An indication as to whether the individual's first menstruation event has occurred.,0,Menarche Indicator (C204694),2
Micrometastasis Present Indicator,C202140,Micrometastasis Present Indicator (C202140),C181043,Morphologic Findings;Metastasis,Micrometastasis Indicator;Micrometastasis Present,Nominal,An indication of whether micrometastases were present in a sample.,0,Micrometastasis Present Indicator (C202140),6
Miscarriage Indicator,C122191,Miscarriage Indicator (C122191),C25180,Reproductive Findings;Clinical Findings Indicator;Indicator,MSCRGIND,Nominal,Specifies whether any pregnancies resulted in miscarriages.,0,Miscarriage Indicator (C122191),2
Motion Tenderness Indicator,C154887,Motion Tenderness Indicator (C154887),C25180,Reproductive Findings;Clinical Findings Indicator;Indicator,MTENDIND,Nominal,An indication as to whether there are symptoms of motion tenderness.,0,Motion Tenderness Indicator (C154887),4
New Lesion Indicator,C142362,New Lesion Indicator (C142362),C181043,Oncology Standards;Disease Response;Disease Response Criteria;Disease Response and Clinical Classification;RS;iRECIST;LUGANO CLASSIFICATION;RANO;IRANO 2015,NEWLIND,Nominal,"An indication as to whether a lesion is newly identified, in comparison to a previous timepoint.",0,New Lesion Indicator (C142362),5
Non-Target Indicator,C161483,Non-Target Indicator (C161483),C25180,Oncology Standards;Tumor/Lesion Identification;TU;RECIST 1.1,NTIND,Nominal,"An indication as to whether a non-target tumor, lesion, or site of disease is present.",0,Non-Target Indicator (C161483),4
Partial Pressure Arterial Oxygen to Fraction Inspired Oxygen Ratio Measurement,C119293,Partial Pressure Arterial Oxygen to Fraction Inspired Oxygen Ratio Measurement (C119293),C82624,Laboratory Tests;Blood Oxygen Levels;Respiratory System Findings,Horowitz Index;Carrico index;P/F ratio;Partial Pressure Arterial Oxygen to Fraction Inspired Oxygen Ratio Measurement;PO2FIO2;PAO2/FIO2;PP Arterial O2/Fraction Inspired O2,Quantitative,The determination of the ratio of the pressure of oxygen dissolved in arterial blood to the percentage oxygen of an inhaled mixture of gasses in a biological specimen.,0,Partial Pressure Arterial Oxygen to Fraction Inspired Oxygen Ratio Measurement (C119293),4
Peeling Indicator,C154883,Peeling Indicator (C154883),C119241,Reproductive Findings;Clinical Findings Indicator;Indicator,PEELIND,Nominal,An indication as to whether there is the presence of peeling.,0,Peeling Indicator (C154883),4
Post-Partum Indicator,C198358,Post-Partum Indicator (C198358),C25180,Reproductive Findings;Clinical Findings Indicator;Indicator,PPRTIND,Nominal,An indication as to whether the subject is in the stages of recovery post pregnancy and birth event.,0,Post-Partum Indicator (C198358),2
Pregnancy Confirmed Indicator,C122192,Pregnancy Confirmed Indicator (C122192),C139264,Reproductive Findings;Clinical Findings Indicator;Indicator,PCONFIND,Nominal,Specifies whether the subject's pregnancy has been confirmed.,1,Pregnancy Indicator (C139264); Pregnancy Confirmed Indicator (C122192),2
Pregnancy Indicator,C139264,Pregnancy Indicator (C139264),C25180,Reproductive Findings;Clinical Findings Indicator;Indicator,PREGIND;Pregnant Indicator,Nominal,An indication as to whether the individual is pregnant.,0,Pregnancy Indicator (C139264),2
Pregnancy Suspected Indicator,C186213,Pregnancy Suspected Indicator (C186213),C139264,Reproductive Findings;Clinical Findings Indicator;Indicator,PSUSPIND,Nominal,An indication that the subject is believed likely to be pregnant.,1,Pregnancy Indicator (C139264); Pregnancy Suspected Indicator (C186213),2
Pregnant During the Study,C106561,Pregnant During the Study (C106561),C19332,Reproductive Findings;Clinical Findings Indicator;Indicator,PREGST,Nominal,An indicator as to whether the female subject is pregnant during the study period.,0,Pregnant During the Study (C106561),2
Products of Conception Examined Indicator,C163557,Products of Conception Examined Indicator (C163557),C25180,Reproductive Findings;Clinical Findings Indicator;Indicator,PRDCEIND;Products of Conception Examined Ind,Nominal,An indication as to whether the products of conception have been examined.,0,Products of Conception Examined Indicator (C163557),2
Pustule Indicator,C154882,Pustule Indicator (C154882),C119241,Reproductive Findings;Clinical Findings Indicator;Indicator,PUSTIND,Nominal,An indication as to whether a pustule is present.,0,Pustule Indicator (C154882),4
Radiation Therapy,C15313,Radiation Therapy (C15313),C49236,Oncology Standards;Therapeutic Procedure;Radiation Therapy,Cancer Radiotherapy;Radiotherapeutics;RT,Nominal,Treatment of a disease by means of exposure of the target or the whole body to radiation. Radiation therapy is often used as part of curative therapy and occasionally as a component of palliative treatment for cancer. Other uses include total body irradiation prior to transplantation.,0,Radiation Therapy (C15313),15
Rash Indicator,C154878,Rash Indicator (C154878),C119241,Reproductive Findings;Clinical Findings Indicator;Indicator,RASHIND,Nominal,An indication as to whether rash is present.,0,Rash Indicator (C154878),4
Skene's Gland Abnormality Indicator,C154879,Skene's Gland Abnormality Indicator (C154879),C93491,Reproductive Findings;Clinical Findings Indicator;Indicator,SKGLAIND,Nominal,An indication as to whether the Skene's gland is abnormal.,0,Skene's Gland Abnormality Indicator (C154879),2
Stillbirth Indicator,C122194,Stillbirth Indicator (C122194),C25180,Reproductive Findings;Clinical Findings Indicator;Indicator,STILBIND,Nominal,Specifies whether any pregnancies resulted in stillbirths.,0,Stillbirth Indicator (C122194),2
Subject Currently Breastfeeding a Child Indicator,C189360,Subject Currently Breastfeeding a Child Indicator (C189360),C25180,Reproductive Findings;Clinical Findings Indicator;Indicator,SCBFCIND;Subj Currently Breastfeeding a Child Ind,Nominal,An indication as to whether the individual is currently breastfeeding a child.,0,Subject Currently Breastfeeding a Child Indicator (C189360),2
Sudden Death Indicator,C174284,Sudden Death Indicator (C174284),C93546,Death Diagnosis and Details;Death Indicator,SDTHIND,Nominal,An indication as to whether death was unexpected or occurred without warning.,0,Sudden Death Indicator (C174284),2
Surgical Damage Indicator,C179824,Surgical Damage Indicator (C179824),C25180,Clinical Findings Indicator;Indicator;Urinary System Findings,SGDMGIND;Surgical Damage Indicator,Nominal,An indication as to whether damage occurred related to a surgical procedure.,0,Surgical Damage Indicator (C179824),6
Swollen Indicator,C127774,Swollen Indicator (C127774),C119241,Musculoskeletal Finding;Symptom Indicator,SWLLIND,Nominal,An indicator as to whether the subject has symptoms of swelling.,0,Swollen Indicator (C127774),5
Target Indicator,C178053,Target Indicator (C178053),C25180,Oncology Standards;Tumor/Lesion Identification;TU;RECIST 1.1,TIND,Nominal,"An indication as to whether a target tumor, lesion, or site of disease is present.",0,Target Indicator (C178053),4
Tenderness Indicator,C127775,Tenderness Indicator (C127775),C119241,Reproductive Findings;Clinical Findings Indicator;Indicator,TNDRIND,Nominal,An indicator as to whether the subject has symptoms of tenderness.,0,Tenderness Indicator (C127775),4
Total Body Fat to Total Body Mass Ratio Measurement,C139218,Total Body Fat to Total Body Mass Ratio Measurement (C139218),C19332,Musculoskeletal Finding;Personal Attribute,BODYFATP,Quantitative,"The amount of an individual's total body mass that is fat, expressed as a percent.",0,Total Body Fat to Total Body Mass Ratio Measurement (C139218),4
Tumor Examination,C90479,Tumor Examination (C90479),,Medical Examination,TUMEX,,An assessment or evaluation of a neoplastic mass.,0,Tumor Examination (C90479),0
Tumor Fragmentation,C96642,Tumor Fragmentation (C96642),C82547,Abnormal Finding;Tumor Identification,Tumor Split;Tumor Mass Fragmentation,Nominal,A finding indicating that a tumor mass has been divided into two or more tumors.,0,Tumor Fragmentation (C96642),10
Tumor Fragmentation Assessment,C225438,Tumor Fragmentation Assessment (C225438),C90479,Oncology Standards;Tumor/Lesion Identification;TU;RECIST 1.1,TUSPLIT;Tumor Split,Nominal,An assessment as to whether a single tumor has divided into two or more tumors.,1,Tumor Examination (C90479); Tumor Fragmentation Assessment (C225438),10
Tumor Identification,C94523,Tumor Identification (C94523),C94189,Oncology Standards;Tumor/Lesion Identification;TU;RECIST 1.1,TUMIDENT,Nominal,A diagnostic procedure to localize and characterize a tumor.,0,Tumor Identification (C94523),10
Tumor Status,C96643,Tumor Status (C96643),C171082,Oncology Standards;Tumor/Lesion Results;TR;RECIST 1.1,TUMSTATE;Tumor State,Nominal,The condition or state of the tumor at a particular time.,0,Tumor Status (C96643),9
Ulcer Indicator,C154881,Ulcer Indicator (C154881),C119241,Reproductive Findings;Clinical Findings Indicator;Indicator,ULCERIND;Ulceration Indicator,Nominal,An indication as to whether an ulcer is present.,0,Ulcer Indicator (C154881),4
