bc_short_name,bc_id,bc_short_name_id,parent_bc_id,bc_categories,bc_synonyms,result_scales,bc_definition,bc_hierarchy_level,bc_hierarchy_full,dec_n
6 Minute Walk Functional Test 2008 Version,C115789,6 Minute Walk Functional Test 2008 Version (C115789),C222260,QRS;Functional Assessment;6 Minute Walk Functional Test;SIX MINUTE WALK;SIXMW1;6MWT,6MWT;SIXMW1;SIX MINUTE WALK,,"A standardized rating scale developed by Bruno Blake in 1963, which is a performance-based evaluation of functional exercise capacity in subjects with chronic respiratory disease and heart failure, as well as other populations such as healthy older adults and people suffering from fibromyalgia and scleroderma. This functional test contains 6 items and measures the distance an individual is able to walk over a total of six minutes on a hard, flat surface.",1,Clinical or Research Functional Assessment Tool (C222260); 6 Minute Walk Functional Test 2008 Version (C115789),4
Abnormal Bleeding Indicator,C154889,Abnormal Bleeding Indicator (C154889),C181043,Reproductive Findings;Clinical Findings Indicator;Indicator,BLEEDIND;Abnormal Indicator,Nominal,An indication as to whether there is the presence of abnormal bleeding.,0,Abnormal Bleeding Indicator (C154889),4
Abnormal Involuntary Movement Scale Clinical Classification,C102111,Abnormal Involuntary Movement Scale Clinical Classification (C102111),C118969,QRS;Clinical or Research Assessment Classification;Abnormal Involuntary Movement Scale Clinical Classification;AIMS;AIMS01,AIMS;AIMS01,,"A standardized rating scale developed by William Guy in 1976 which is used to evaluate the severity of tardive dyskinesia in individuals taking neuroleptic agents. This instrument contains 5 sections with a total of 12 items pertaining to facial and oral movements, global judgments, trunk movements, dental status, and extremity movements. Each item is rated on either a 0 to 4 scale with 0 being none and 4 being severe, or as 'yes' or 'no.'",0,Abnormal Involuntary Movement Scale Clinical Classification (C102111),3
Actively Menstruating Indicator,C204695,Actively Menstruating Indicator (C204695),C25180,Reproductive Findings;Clinical Findings Indicator;Indicator,AMENSIND,Nominal,An indication as to whether the subject is menstruating at the time the question is asked.,0,Actively Menstruating Indicator (C204695),2
Aggregate RR Interval,C117791,Aggregate RR Interval (C117791),C62085,Electrocardiogram Findings;Electrocardiogram Measurements;ECG Measurements,RR Interval Aggregate;RRAG,Quantitative,"An aggregate RR value based on the measurement of RR intervals from multiple beats within a single ECG. The method of aggregation, which can vary, is typically a measure of central tendency such as the mean. (CDISC)",0,Aggregate RR Interval (C117791),9
Allergen-induced IgA Antibody Measurement,C187776,Allergen-induced IgA Antibody Measurement (C187776),C182150,Laboratory Tests;Immunogenicity Specimen Assessments;Immunoglobulin A Measurements;Allergen-induced Antibody Measurements,ARIGAAB;Allergen-induced IgA Antibody,Quantitative;Ordinal,The determination of the amount of allergen-induced IgA antibody in a sample.,0,Allergen-induced IgA Antibody Measurement (C187776),9
Alzheimer's Disease Assessment Scale-Cognitive CDISC Version Functional Test,C100762,Alzheimer's Disease Assessment Scale-Cognitive CDISC Version Functional Test (C100762),C222259,QRS;Functional Assessment;Alzheimer's Disease Assessment Scale-Cognitive CDISC Version Functional Test;ADAS-Cog;ADC,,,"The CDISC version of the Alzheimer's Disease Assessment Scale-Cognitive (CDISC ADAS-Cog) containing 15 summary-level tests. This version is based on combining the total pool of ADAS-Cog tests that were observed during a review of multiple case report forms administered in clinical trials of Alzheimer's disease, as well as the CRF administered in the Alzheimer's Disease Neuroimaging Initiative (ADNI) observational study. (Modified from Mohs RC, Rosen WG, Davis KL. The Alzheimer's disease assessment scale: an instrument for assessing treatment efficacy. Psychopharmacol Bull 1983;19(3):448-450. Rosen WG, Mohs RC, Davis KL. A new rating scale for Alzheimer's disease. Am J Psychiatry 1984;141(11):1356-1364. Mohs RC, Knopman D, Petersen RC et al. Development of cognitive instruments for use in clinical trials of antidementia drugs: additions to the Alzheimer's Disease Assessment Scale that broaden its scope. The Alzheimer's Disease Cooperative Study. Alzheimer Dis Assoc Disord 1997;11 Suppl 2:S13-S21. Wouters H, van Gool WA, Schmand B, Lindeboom R. Revising the ADAS-cog for a more accurate assessment of cognitive impairment. Alzheimer Dis Assoc Disord 2008;22(3):236-244.).",1,Cognitive Assessment Tool (C222259); Alzheimer's Disease Assessment Scale-Cognitive CDISC Version Functional Test (C100762),4
Assay,C60819,Assay (C60819),,Laboratory Tests;Mixed Category Laboratory Procedure;Assay,,,A qualitative or quantitative analysis performed to determine the amount of a particular constituent in a sample or the biological or pharmacological properties or activity of a drug or substance.,0,Assay (C60819),0
Bartholin's Gland Abnormality Indicator,C154880,Bartholin's Gland Abnormality Indicator (C154880),C181043,Reproductive Findings;Clinical Findings Indicator;Indicator,BTHGLIND;Abnormal Indicator,Nominal,An indication as to whether the Bartholin's gland is abnormal.,0,Bartholin's Gland Abnormality Indicator (C154880),2
Bleeding or Spotting Between Menstrual Periods Indicator,C189352,Bleeding or Spotting Between Menstrual Periods Indicator (C189352),C154889,Reproductive Findings;Clinical Findings Indicator;Indicator,BSBMPIND;Bleed/Spot Between Menstrual Periods Ind,Nominal,An indication as to whether the individual has experienced bleeding or spotting between menstrual periods.,1,Abnormal Bleeding Indicator (C154889); Bleeding or Spotting Between Menstrual Periods Indicator (C189352),2
