bc_short_name,bc_id,bc_short_name_id,parent_bc_id,bc_categories,bc_synonyms,result_scales,bc_definition,bc_hierarchy_level,bc_hierarchy_full,dec_n
Abnormal Involuntary Movement Scale Clinical Classification,C102111,Abnormal Involuntary Movement Scale Clinical Classification (C102111),C118969,QRS;Clinical or Research Assessment Classification;Abnormal Involuntary Movement Scale Clinical Classification;AIMS;AIMS01,AIMS;AIMS01,,"A standardized rating scale developed by William Guy in 1976 which is used to evaluate the severity of tardive dyskinesia in individuals taking neuroleptic agents. This instrument contains 5 sections with a total of 12 items pertaining to facial and oral movements, global judgments, trunk movements, dental status, and extremity movements. Each item is rated on either a 0 to 4 scale with 0 being none and 4 being severe, or as 'yes' or 'no.'",0,Abnormal Involuntary Movement Scale Clinical Classification (C102111),4
Acute Physiology and Chronic Health Evaluation II Clinical Classification,C121005,Acute Physiology and Chronic Health Evaluation II Clinical Classification (C121005),C118969,QRS;Clinical or Research Assessment Classification;Acute Physiology and Chronic Health Evaluation II Clinical Classification;APACHE II;APCH1,APACHE II,,"A standardized rating scale developed by Knaus et al in 1985, which is a classification system used to measure severity of disease. This instrument uses a point score system based on physiological measurements, age and previous health status.",0,Acute Physiology and Chronic Health Evaluation II Clinical Classification (C121005),4
Alzheimer's Disease Assessment Scale-Cognitive CDISC Version Functional Test,C100762,Alzheimer's Disease Assessment Scale-Cognitive CDISC Version Functional Test (C100762),C222259,QRS;Functional Assessment;Alzheimer's Disease Assessment Scale-Cognitive CDISC Version Functional Test;ADAS-Cog;ADC,,,"The CDISC version of the Alzheimer's Disease Assessment Scale-Cognitive (CDISC ADAS-Cog) containing 15 summary-level tests. This version is based on combining the total pool of ADAS-Cog tests that were observed during a review of multiple case report forms administered in clinical trials of Alzheimer's disease, as well as the CRF administered in the Alzheimer's Disease Neuroimaging Initiative (ADNI) observational study. (Modified from Mohs RC, Rosen WG, Davis KL. The Alzheimer's disease assessment scale: an instrument for assessing treatment efficacy. Psychopharmacol Bull 1983;19(3):448-450. Rosen WG, Mohs RC, Davis KL. A new rating scale for Alzheimer's disease. Am J Psychiatry 1984;141(11):1356-1364. Mohs RC, Knopman D, Petersen RC et al. Development of cognitive instruments for use in clinical trials of antidementia drugs: additions to the Alzheimer's Disease Assessment Scale that broaden its scope. The Alzheimer's Disease Cooperative Study. Alzheimer Dis Assoc Disord 1997;11 Suppl 2:S13-S21. Wouters H, van Gool WA, Schmand B, Lindeboom R. Revising the ADAS-cog for a more accurate assessment of cognitive impairment. Alzheimer Dis Assoc Disord 2008;22(3):236-244.).",0,Alzheimer's Disease Assessment Scale-Cognitive CDISC Version Functional Test (C100762),4
Appropriate Developmental Age Indicator,C171499,Appropriate Developmental Age Indicator (C171499),C25180,Subject Characteristics;Indicators,ADEVAIND;Appropriate Development For Age Indicator,Nominal,"An indication as to whether the subject's chronological age matches their physical, emotional, social, and cognitive functioning.",0,Appropriate Developmental Age Indicator (C171499),3
Birth Country,C200441,Birth Country (C200441),C16632,Subject Characteristics,BRCTRY;Country of Birth;Birth Country,Nominal,The country where a subject was born.,0,Birth Country (C200441),3
Birth Country Code,C93516,Birth Country Code (C93516),,Subject Characteristics,BRCTRYCD;Birth Country Code;birthCountryCode,Nominal,A coded value specifying the name of the country in which the biologic entity is born.,0,Birth Country Code (C93516),3
Birth Plurality,C198361,Birth Plurality (C198361),C92720,Subject Characteristics,BTHPLRTY;Birth Plurality,Nominal,"The number of fetuses delivered live or dead at any time in the pregnancy, regardless of gestational age or if the fetuses were delivered at different dates in the pregnancy. (CDC)",0,Birth Plurality (C198361),3
Breast Cancer Diagnostic or Therapeutic Procedure,C79427,Breast Cancer Diagnostic or Therapeutic Procedure (C79427),,Procedures;Interventions,,,Any procedure for diagnosis or treatment of breast cancer.,0,Breast Cancer Diagnostic or Therapeutic Procedure (C79427),0
Breast Cancer Therapeutic Procedure,C15774,Breast Cancer Therapeutic Procedure (C15774),C79427,Procedures;Interventions;Breast Cancer Procedures,Breast Cancer Treatment;Breast Cancer Surgeries,Nominal,Medical or surgical interventions to eradicate breast tumors and/or their metastases.,1,Breast Cancer Diagnostic or Therapeutic Procedure (C79427); Breast Cancer Therapeutic Procedure (C15774),11
Breast Fed Indicator,C112233,Breast Fed Indicator (C112233),C19332,Subject Characteristics,BRFEDIND;Breast Fed Indicator,Nominal,An indication as to whether the subject was breast fed (received mother's milk) as an infant.,0,Breast Fed Indicator (C112233),3
Brief Psychiatric Rating Scale A Clinical Classification,C100761,Brief Psychiatric Rating Scale A Clinical Classification (C100761),C118969,QRS;Clinical or Research Assessment Classification;Brief Psychiatric Rating Scale A Clinical Classification;BPRS-A;BPRSA1,BPRS-A;BPRSA1;Brief Psychiatric Rating Scale - Anchored,,"A standardized rating scale originally developed by Margaret G. Woerner, Salvatore Mannuzza and John M. Kane in 1988 which is used to evaluate the severity of an individual's psychiatric symptoms. This version consists of 18 questions or types of psychiatric symptoms such as depression, anxiety, hallucinations, motor skills, or other unusual behaviors and is completed during a semi-structured interview. Each symptom is rated on a scale of 1-7 or 1-9 with 1 being non-existent and 7 being very severe; 9 represents 'can not be assessed'.",0,Brief Psychiatric Rating Scale A Clinical Classification (C100761),4
CDC HIV High Risk Donor Indicator,C139271,CDC HIV High Risk Donor Indicator (C139271),C25180,Subject Characteristics,HIVHRIND;CDC HIV High Risk Donor Indicator,Nominal,"An indication as to whether an organ donor may fall into one or more behavioral categories associated with increased risk of human immunodeficiency virus (HIV) infection, as defined by the 1994 Centers for Disease Control (CDC) Public Health Service Criteria for High Risk Behavior (Guidelines for preventing transmission of human immunodeficiency virus through transplantation of human tissue and organs. Centers for Disease Control and Prevention. MMWR Recomm Rep 1994; 43: 1-17).",0,CDC HIV High Risk Donor Indicator (C139271),3
Child-Pugh Clinical Classification,C121007,Child-Pugh Clinical Classification (C121007),C118969,QRS;Clinical or Research Assessment Classification;Child-Pugh Clinical Classification;CHILD-PUGH CLASSIFICATION;Child-Pugh;CPS01;Child-Pugh Clinical Classification Question,Child-Pugh;CHILD-PUGH CLASSIFICATION;Child-Pugh Classification;Child-Pugh Score;CPS01,,"A standardized rating scale used to assess the severity of liver cirrhosis and determine the prognosis, the required strength of treatment, and the necessity of liver transplantation. This instrument uses the following clinical and lab criteria: encephalopathy grade, ascites, bilirubin, albumin, and prothrombin index.",0,Child-Pugh Clinical Classification (C121007),4
Clinical Global Impression Generic Modification Version Questionnaire,C135738,Clinical Global Impression Generic Modification Version Questionnaire (C135738),C91105,QRS;Clinical or Research Assessment Questionnaire;Clinical Global Impression Generic Modification Version Questionnaire;CGI02;CGI,CGI;CGI02,,A modified version of a standardized questionnaire published in 1976 by Guy et al. that was initially created to provide a clinician-determined summary measure of a patient's global functioning prior to and after initiating a study medication. It has been modified for use in any disease/condition concept use case.,0,Clinical Global Impression Generic Modification Version Questionnaire (C135738),4
Combat Exposure Scale Questionnaire,C132532,Combat Exposure Scale Questionnaire (C132532),C91105,QRS;Clinical or Research Assessment Questionnaire;Combat Exposure Scale Questionnaire;CES;CES01,CES;CES01,,"A standardized 7-item self-report scale that was developed by Keane et al in 1989 to measure combat exposure. The instrument is derived from Figley's combat scale (1980), with additional items included by consensus of a group of clinical psychologists with experience in the assessment and treatment of combat-related PTSD. The items are weighted according to the severity of the combat experience.",0,Combat Exposure Scale Questionnaire (C132532),4
Computed Tomography,C17204,Computed Tomography (C17204),C38093,Diagnostic Imaging;Medical Imaging;Tomagraphy,CAT Scan;Computed Axial Tomography;Computed Tomography;Computerized Tomography;CT,Nominal,A method of examining structures within the body by scanning them with X rays and using a computer to construct a series of cross-sectional scans along a single axis.,1,Tomography (C38093); Computed Tomography (C17204),10
Country of Permanent Address,C176365,Country of Permanent Address (C176365),C16632,Subject Characteristics,CTRYPAD;Country of Permanent Address,Nominal,The country in which an individual permanently resides.,0,Country of Permanent Address (C176365),3
Country of Potential Disease Exposure,C102612,Country of Potential Disease Exposure (C102612),C16632,Subject Characteristics,CTRYDEXP;Country of Potential Disease Exposure,Nominal,"System of classification based on the nation in which an individual was exposed to a disease, regardless of the nation in which he/she currently resides.",0,Country of Potential Disease Exposure (C102612),3
County of Permanent Address,C176362,County of Permanent Address (C176362),,Subject Characteristics,CNTYPAD;County of Permanent Address,Nominal,The county in which an individual permanently resides.,0,County of Permanent Address (C176362),3
Deceased Donor Donation Condition,C139270,Deceased Donor Donation Condition (C139270),,Subject Characteristics,DDDTYPE;Deceased Donor Donation Condition;Deceased Donor Donation Type,Nominal,"The conditions under which an organ is harvested from a dead donor, including the condition of the donor and the environment.",0,Deceased Donor Donation Condition (C139270),3
Deoxyribonucleic Acid Measurement,C135409,Deoxyribonucleic Acid Measurement (C135409),,Laboratory Tests;Chemistry Tests;Microbiology Tests,,,The determination of the amount of deoxyribonucleic acid (DNA) in a biological sample.,0,Deoxyribonucleic Acid Measurement (C135409),0
Dietary Mineral Measurement,C184335,Dietary Mineral Measurement (C184335),,Laboratory Tests;Chemistry Tests,,,"A determination of the total minerals in a nutritional product or meal, or a portion thereof.",0,Dietary Mineral Measurement (C184335),0
Dietary Phosphorus Measurement,C184481,Dietary Phosphorus Measurement (C184481),C184335,Laboratory Tests;Chemistry Tests;Dietary Mineral Measurements,DP;Dietary Phosphorus,Quantitative,"A determination of the phosphorus in a nutritional product or meal, or a portion thereof.",1,Dietary Mineral Measurement (C184335); Dietary Phosphorus Measurement (C184481),3
Disease Contact Investigation Indicator,C202576,Disease Contact Investigation Indicator (C202576),C25180,Subject Characteristics,CINVIND;Contact Investigation Indicator;Disease Contact Investigation Indicator,Nominal,An indication as to whether a contact investigation (a public health activity whereby individuals who have been exposed to a person with a suspected or confirmed contagious illness are identified for contact tracing) has been carried out for the subject.,0,Disease Contact Investigation Indicator (C202576),3
Disease Recurrence Indicator,C123621,Disease Recurrence Indicator (C123621),C93645,Oncology Standards;Disease Response;RS,DRCRIND,Nominal,An indication as to whether disease recurrence occurred.,0,Disease Recurrence Indicator (C123621),4
Disease Recurrence Relative Location,C123633,Disease Recurrence Relative Location (C123633),C25341,Oncology Standards;Tumor/Lesion Identification;TU,DRCRLTLC,Nominal,A description of the region or relative location for the disease recurrence.,0,Disease Recurrence Relative Location (C123633),4
District of Permanent Address,C176363,District of Permanent Address (C176363),,Subject Characteristics,DISTPAD;District of Permanent Address,Nominal,The district in which an individual permanently resides.,0,District of Permanent Address (C176363),3
District of Potential Disease Exposure,C174364,District of Potential Disease Exposure (C174364),C16632,Subject Characteristics,DISTDEXP;District of Potential Disease Exposure,Nominal,The district in which the an individual was potentially exposed to a disease.,0,District of Potential Disease Exposure (C174364),3
Dominant Hand,C114182,Dominant Hand (C114182),C19332,Subject Characteristics,HANDDOM;Dominant Hand,Nominal,The preferred hand of use for controlled and efficient performance of motor tasks.,0,Dominant Hand (C114182),3
Donor Status,C159525,Donor Status (C159525),,Person Status,,,Vital information about a donor at the time of donation.,0,Donor Status (C159525),0
Donor Status at Time of Organ Donation,C139269,Donor Status at Time of Organ Donation (C139269),C159525,Subject Characteristics,DSTATTOD;Donor Status at Time of Organ Donation,Nominal,The donor's state or condition of being either living or brain dead at the time of organ harvesting.,1,Donor Status (C159525); Donor Status at Time of Organ Donation (C139269),3
Eastern Cooperative Oncology Group Performance Status Clinical Classification,C102116,Eastern Cooperative Oncology Group Performance Status Clinical Classification (C102116),C118969,QRS;Clinical or Research Assessment Classification;Eastern Cooperative Oncology Group Performance Status Clinical Classification;ECOG;ECOG1,ECOG,,"A standardized classification scale, published by Oken et al. in 1982 for the Eastern Cooperative Oncology Group (ECOG), that utilizes a six point rating scale to assess a patient's functional status.",0,Eastern Cooperative Oncology Group Performance Status Clinical Classification (C102116),4
Education Level,C17953,Education Level (C17953),C17468,Subject Characteristics,EDULEVEL;Education;Education Level;Education Level Completed;education_level;Educational Attainment;Educational Level;Level of Education Attained,Ordinal,"An indication of the years of schooling completed in graded public, private, or parochial schools, and in colleges, universities, or professional schools.",0,Education Level (C17953),3
Employee Salary Type,C74566,Employee Salary Type (C74566),,Subject Characteristics,SALTYP;Employee Salary Type,Nominal,A coding scheme used to describe the possible methods of compensation in an occupation.,0,Employee Salary Type (C74566),3
Employer Based Health Insurance Indicator,C209683,Employer Based Health Insurance Indicator (C209683),C209446,Subject Characteristics,HIEMPIND;Employer Based Health Insurance Ind;Employer Based Health Insurance Indicator,Nominal,An indication as to whether the subject is covered by their own or a family member's employer-based health insurance.,1,Health Insurance Indicator (C209446); Employer Based Health Insurance Indicator (C209683),3
Employment Status,C179143,Employment Status (C179143),C171086,Subject Characteristics,EMPSTAT;Employment Status,Nominal,The state of a person with regard to earning wages or salary.,1,Person Status (C171086); Employment Status (C179143),3
Enrolled in Daycare Indicator,C198362,Enrolled in Daycare Indicator (C198362),C25180,Subject Characteristics,DAYCRIND;Day Care Indicator;Daycare Indicator;Enrolled in Daycare Indicator,Nominal,An indication as to whether the individual is enrolled at a daycare facility.,0,Enrolled in Daycare Indicator (C198362),3
Entry Date from Country of Potential Disease Exposure,C102631,Entry Date from Country of Potential Disease Exposure (C102631),C25164,Subject Characteristics,CTRYDDTC;Entry Date from Country of Potential Disease Exposure;Entry Date from Ptntl Cntry Disease Exp,Temporal,The date on which the subject arrived in the reporting country from the country of potential disease exposure.,0,Entry Date from Country of Potential Disease Exposure (C102631),3
Estimated Gestational Age,C122188,Estimated Gestational Age (C122188),C25150,Subject Characteristics,EGESTAGE;Estimated Gestational Age,Quantitative,An approximate calculation of the gestational age of the fetus.,0,Estimated Gestational Age (C122188),4
European Quality of Life Five Dimension Five Level Scale Questionnaire,C102117,European Quality of Life Five Dimension Five Level Scale Questionnaire (C102117),C91105,QRS;Clinical or Research Assessment Questionnaire;European Quality of Life Five Dimension Five Level Scale Questionnaire;EQ-5D-5L;EQ5D02,EQ5D02;EQ-5D-5L;European Quality of Life Five Dimension Five Level Scale Questionnaire,,"A standardized rating scale which is used as a measure of health outcome. This instrument is a descriptive system consisting of 5 dimensions: mobility, self-care, usual activity, pain/discomfort, and anxiety/depression. Each dimension has 5 levels ranging from no problem to extreme problem or incapable, which are assessed by the patient.",0,European Quality of Life Five Dimension Five Level Scale Questionnaire (C102117),5
Expected Date of Confinement,C81247,Expected Date of Confinement (C81247),C25164,Subject Characteristics,Due Date;EDC;EDD;EDLVRDTC;Estimated Date of Confinement;Estimated Date of Delivery;Estimated Due Date;Expected Date of Confinement,Temporal,"The best estimated due date is determined by: last menstrual period (LMP) if confirmed by early ultrasound or no ultrasound performed, or early ultrasound if no known LMP or the ultrasound is not consistent with LMP, or known date of fertilization (e.g. Assisted Reproductive Technology (ART), Intrauterine Insemination (IUI)). Notes: 1. Ultrasound margin of error and ""early"" to be defined by SMFM/ACOG/NICHD workshop. 2. Pregnancy should not be re-dated by a later ultrasound after a best obstetrical estimate of EDD has been established. (adapted from reVITALize)",0,Expected Date of Confinement (C81247),3
Fertility Status,C186214,Fertility Status (C186214),C16669,Subject Characteristics,FRTLSTAT;Fertility Status,Nominal,The status of an individual with respect to their ability to produce offspring.,1,Health Status (C16669); Fertility Status (C186214),3
Fitzpatrick Classification Scale,C74563,Fitzpatrick Classification Scale (C74563),C74562,Subject Characteristics,SKINCLAS;Fitzpatrick Classification Scale;Fitzpatrick Skin Classification;Fitzpatrick Skin Phototype;Fitzpatrick Skin Type System;Skin Classification,Ordinal,"A classification system used by dermatologists to determine a person's risk for sunburn. The classification is based on the skin complexion and the degree of tolerance to sun exposure and it relates to the amount of melanin pigment in the skin. It was developed by Dr. Thomas Fitzpatrick in 1975 to determine patient's skin reaction to laser and light therapy treatments. According to this system, there are six skin varieties classified from I to VI.",1,Skin Classification Scheme (C74562); Fitzpatrick Classification Scale (C74563),3
Full-Time Student Indicator,C209682,Full-Time Student Indicator (C209682),C147485,Subject Characteristics,FTSTUIND;Full-Time Student Indicator,Nominal,An indication as to whether the subject is a full-time student.,1,Student Indicator (C147485); Full-Time Student Indicator (C209682),3
GPS Coordinates of Potential Disease Exposure,C174365,GPS Coordinates of Potential Disease Exposure (C174365),,Subject Characteristics,GPSDEXP;GPS Coord of Potential Disease Exposure;GPS Coordinates of Potential Disease Exposure,Quantitative,The global position system (GPS) coordinates for the location at which the an individual was potentially exposed to a disease.,0,GPS Coordinates of Potential Disease Exposure (C174365),3
Gender Identity,C158277,Gender Identity (C158277),,Subject Characteristics,GENIDENT;Gender Identity,Nominal,"A person's internally held sense of their gender, which may or may not correspond to the individual's genotypic or phenotypic sex. IMPORTANT NOTICE: The NCI Thesaurus contains biomedical terminologies that NCI does not own or control. This concept contains gender-related content that does not comply with Executive Order 14168.",0,Gender Identity (C158277),3
Gestational Age at Birth,C124435,Gestational Age at Birth (C124435),,Subject Characteristics,GSTABRTH;Gestational Age at Birth;weeks gestation at birth;weeks_gestation_at_birth,Quantitative,The gestational age of the subject at birth.,0,Gestational Age at Birth (C124435),4
Group Affiliation,C18823,Group Affiliation (C18823),,Social Circumstances,,,Inclusion of an individual in a peer or minority group,0,Group Affiliation (C18823),0
Hamilton Anxiety Rating Scale Clinical Classification,C102118,Hamilton Anxiety Rating Scale Clinical Classification (C102118),C118969,QRS;Clinical or Research Assessment Classification;Hamilton Anxiety Rating Scale Clinical Classification;HAM-A;HAMA;HAMA1,HAM-A;HAMA;HAMA1,,"A standardized rating scale developed by M. Hamilton in 1959 which is used to evaluate the severity of an individual's state of neurotic anxiety. This instrument contains 14 questions or types of symptoms associated with anxiety such as fear, mood, insomnia, and somatic symptoms, which is completed during a semi-structured interview. Each symptom is rated on a scale of 0-4 with 0 being none and 4 being the most severe. A score of 0-17 is considered 'mild', while a score of 18-24 is 'mild to moderate' and a score greater than 24 is 'moderate to severe.'",0,Hamilton Anxiety Rating Scale Clinical Classification (C102118),4
Harvey-Bradshaw Index Clinical Classification,C191036,Harvey-Bradshaw Index Clinical Classification (C191036),C118969,QRS;Clinical or Research Assessment Classification;Harvey-Bradshaw Index Clinical Classification;HBI;HBI01,HBI01;HBI,,"A standardized clinical tool, published in 1980 by Harvey et al. as a simplified version of the Crohn Disease Activity Index (CDAI), that assesses and scores five patient parameters (well-being, abdominal pain, number of liquid or soft stools, abdominal mass, and complications) to stratify Crohn's disease severity.",0,Harvey-Bradshaw Index Clinical Classification (C191036),4
Health Insurance Indicator,C209446,Health Insurance Indicator (C209446),C25180,Subject Characteristics,HIIND;Health Insurance Indicator,Nominal,An indication as to whether the subject is covered by health insurance.,0,Health Insurance Indicator (C209446),3
Health Status,C16669,Health Status (C16669),,Person Status,,,The state of a subject's mental or physical condition.,0,Health Status (C16669),0
Hepatitis B DNA Measurement,C103404,Hepatitis B DNA Measurement (C103404),C135409,Laboratory Tests;Chemistry Tests;Microbiology Tests;Virology Tests,HBDNA;HBV DNA;HBV DNA Measurement,Quantitative;Nominal,The determination of the amount of hepatitis B virus DNA in a sample.,1,Deoxyribonucleic Acid Measurement (C135409); Hepatitis B DNA Measurement (C103404),6
Hepatitis B Surface Antibody Measurement,C74711,Hepatitis B Surface Antibody Measurement (C74711),C125944,Laboratory Tests;Immunology Tests;Microbiology Tests,HBV Surface Antibody;HBV Surface Antibody Measurement,Quantitative;Ordinal,The determination of the surface antibody reaction of a sample to the Hepatitis B virus.,1,Hepatitis B Virus Antibody Measurement (C125944); Hepatitis B Surface Antibody Measurement (C74711),6
Hepatitis B Virus Antibody Measurement,C125944,Hepatitis B Virus Antibody Measurement (C125944),C16723,Laboratory Tests;Immunology Tests;Microbiology Tests,,Quantitative;Ordinal,The determination of the amount of hepatitis B virus antibody present in a sample.,0,Hepatitis B Virus Antibody Measurement (C125944),0
Hepatitis B Virus Core Antibody Measurement,C96660,Hepatitis B Virus Core Antibody Measurement (C96660),C125944,Laboratory Tests;Immunology Tests;Microbiology Tests,HBV Core Antibody;HBV Core Antibody Measurement,Quantitative;Ordinal,The determination of the amount of Hepatitis B virus core antibody present in a sample.,1,Hepatitis B Virus Antibody Measurement (C125944); Hepatitis B Virus Core Antibody Measurement (C96660),6
Hepatitis B Virus Core Antigen Measurement,C166039,Hepatitis B Virus Core Antigen Measurement (C166039),C210012,Laboratory Tests;Immunology Tests;Microbiology Tests,HBCAG;Hepatitis B Core Antigen;Hepatitis B Virus Core Antigen,Quantitative;Ordinal,The determination of the amount of Hepatitis B virus core antigen present in a sample.,1,Virus-Based Immunology Test (C210012); Hepatitis B Virus Core Antigen Measurement (C166039),6
Hepatitis B Virus Surface Antigen Measurement,C64850,Hepatitis B Virus Surface Antigen Measurement (C64850),C210012,Laboratory Tests;Immunology Tests;Microbiology Tests,HBsAg;Hepatitis B Surface Antigen;Hepatitis B Virus Surface Antigen,Quantitative;Ordinal;Nominal,A determination of the presence of hepatitis B virus surface antigen.,1,Virus-Based Immunology Test (C210012); Hepatitis B Virus Surface Antigen Measurement (C64850),6
Hepatitis C Virus RNA Measurement,C142330,Hepatitis C Virus RNA Measurement (C142330),C132301,Laboratory Tests;Chemistry Tests;Microbiology Tests,HCRNA;Hepatitis C RNA,Quantitative;Ordinal,The determination of the amount of hepatitis C virus RNA present in a sample.,1,Ribonucleic Acid Measurement (C132301); Hepatitis C Virus RNA Measurement (C142330),6
Income,C41150,Income (C41150),,Socioeconomic Factors,,,"A gain or recurrent benefit during a period of time, usually measured in money that derives from capital or labor.",0,Income (C41150),0
Income Level,C154890,Income Level (C154890),C41150,Subject Characteristics,INCMLVL;Income Level,Ordinal;Quantitative,An indication of the position on a scale measuring compensation or monetary support.,1,Income (C41150); Income Level (C154890),3
Indian Health Service Insurance Indicator,C209684,Indian Health Service Insurance Indicator (C209684),C209446,Subject Characteristics,HIIHSIND;Indian Health Service Insurance Ind;Indian Health Service Insurance Indicator,Nominal,An indication as to whether the subject is covered by their own or a family member's U.S. Indian Health Service insurance.,1,Health Insurance Indicator (C209446); Indian Health Service Insurance Indicator (C209684),3
Infant Less Than One Year Indicator,C171513,Infant Less Than One Year Indicator (C171513),C25180,Subject Characteristics,INL1YIND;Infant Less Than One Year Indicator,Nominal,An indication as to whether the subject is less than one year of age.,0,Infant Less Than One Year Indicator (C171513),3
Intersex Diagnosis Indicator,C209687,Intersex Diagnosis Indicator (C209687),C25180,Subject Characteristics,ISXDXIND;Intersex Diagnosis Indicator,Nominal,An indication as to whether the participant or subject has been diagnosed as intersex.,0,Intersex Diagnosis Indicator (C209687),3
Karnofsky Performance Status Scale Clinical Classification,C100768,Karnofsky Performance Status Scale Clinical Classification (C100768),C118969,QRS;Clinical or Research Assessment Classification;Karnofsky Performance Status Scale Clinical Classification;KPS SCALE;KPSS01,KPS SCALE;KPSS01,,"A standardized rating scale originally developed by David A. Karnofsky and Joseph H. Burchenal in 1949 which is used to evaluate the degree to which a patient is functionally impaired. This instrument consists of 3 sections, no special care needed, unable to work, and unable to care for one's self and is completed by a clinician based on their observations. There are a total of eleven levels ranging from 0-100 where 0 indicates that the patient is dead and 100 indicates that the patient is normal.",0,Karnofsky Performance Status Scale Clinical Classification (C100768),4
