bc_short_name,bc_id,bc_short_name_id,parent_bc_id,bc_categories,bc_synonyms,result_scales,bc_definition,bc_hierarchy_level,bc_hierarchy_full,dec_n
6 Minute Walk Functional Test 2008 Version,C115789,6 Minute Walk Functional Test 2008 Version (C115789),C222260,QRS;Functional Assessment;6 Minute Walk Functional Test;SIX MINUTE WALK;SIXMW1;6MWT,6MWT;SIXMW1;SIX MINUTE WALK,,"A standardized rating scale developed by Bruno Blake in 1963, which is a performance-based evaluation of functional exercise capacity in subjects with chronic respiratory disease and heart failure, as well as other populations such as healthy older adults and people suffering from fibromyalgia and scleroderma. This functional test contains 6 items and measures the distance an individual is able to walk over a total of six minutes on a hard, flat surface.",0,6 Minute Walk Functional Test 2008 Version (C115789),5
AJCC Cancer Staging Manual,C177561,AJCC Cancer Staging Manual (C177561),C118969,QRS;Clinical or Research Assessment Classification;AJCC Cancer Staging Manual,AJCC Cancer Staging Manual;ajcc staging system edition,,The criteria developed by the American Joint Committee on Cancer (AJCC) for the classification and staging of neoplastic diseases.,0,AJCC Cancer Staging Manual (C177561),0
AJCC Cancer Staging Manual 7th Edition,C125755,AJCC Cancer Staging Manual 7th Edition (C125755),C177561,QRS;Clinical or Research Assessment Classification;AJCC Cancer Staging Manual 7th Edition Clinical Classification;AJCC V7;AJCC1;AJCC7,AJCC V7;AJCC1;AJCC7,,"The 7th edition of the criteria developed by the American Joint Committee on Cancer (AJCC) in 2010, used for the classification and staging of neoplastic diseases.",1,AJCC Cancer Staging Manual (C177561); AJCC Cancer Staging Manual 7th Edition (C125755),0
AJCC v7 - Anatomic Stage,C141699,AJCC v7 - Anatomic Stage (C141699),C141675,QRS;Clinical or Research Assessment Classification;AJCC Cancer Staging Manual 7th Edition Clinical Classification;AJCC V7;AJCC V7 Clinical Classification Question,AJCC1-Anatomic;Stage;AJCC104,,AJCC Cancer Staging Manual 7th Edition (AJCC v7) Anatomic stage.,1,AJCC v7 Clinical Classification Question (C141675); AJCC v7 - Anatomic Stage (C141699),5
AJCC v7 - Distant Metastasis (M),C141698,AJCC v7 - Distant Metastasis (M) (C141698),C141675,QRS;Clinical or Research Assessment Classification;AJCC Cancer Staging Manual 7th Edition Clinical Classification;AJCC V7;AJCC V7 Clinical Classification Question,AJCC1-Distant Metastasis (M);AJCC103,,AJCC Cancer Staging Manual 7th Edition (AJCC v7) Distant metastasis (M).,1,AJCC v7 Clinical Classification Question (C141675); AJCC v7 - Distant Metastasis (M) (C141698),5
AJCC v7 - Primary Tumor (T),C141696,AJCC v7 - Primary Tumor (T) (C141696),C141675,QRS;Clinical or Research Assessment Classification;AJCC Cancer Staging Manual 7th Edition Clinical Classification;AJCC V7;AJCC V7 Clinical Classification Question,,,AJCC Cancer Staging Manual 7th Edition (AJCC v7) Primary tumor (T).,1,AJCC v7 Clinical Classification Question (C141675); AJCC v7 - Primary Tumor (T) (C141696),5
AJCC v7 - Regional Lymph Nodes (N),C141697,AJCC v7 - Regional Lymph Nodes (N) (C141697),C141675,QRS;Clinical or Research Assessment Classification;AJCC Cancer Staging Manual 7th Edition Clinical Classification;AJCC V7;AJCC V7 Clinical Classification Question,AJCC1-Regional Lymph Nodes (N);AJCC102,,AJCC Cancer Staging Manual 7th Edition (AJCC v7) Regional lymph nodes (N).,1,AJCC v7 Clinical Classification Question (C141675); AJCC v7 - Regional Lymph Nodes (N) (C141697),5
AJCC v7 - Residual Tumor (R),C176205,AJCC v7 - Residual Tumor (R) (C176205),C141675,QRS;Clinical or Research Assessment Classification;AJCC Cancer Staging Manual 7th Edition Clinical Classification;AJCC V7;AJCC V7 Clinical Classification Question,AJCC1-Residual Tumor (R);AJCC105,,AJCC Cancer Staging Manual 7th Edition (AJCC v7) Residual tumor (R).,1,AJCC v7 Clinical Classification Question (C141675); AJCC v7 - Residual Tumor (R) (C176205),5
AJCC v7 Clinical Classification Question,C141675,AJCC v7 Clinical Classification Question (C141675),C91102,QRS Instrument Questions,,,A question associated with the AJCC v7 clinical classification.,0,AJCC v7 Clinical Classification Question (C141675),0
ATLAS Score Clinical Classification,C147589,ATLAS Score Clinical Classification (C147589),C118969,QRS;Clinical or Research Assessment Classification;ATLAS Score Clinical Classification;ATLAS;ATLAS1,ATLAS;ATLAS1,,"A standardized scoring system created by Miller et al. in 2013 that assesses age, treatment with systemic antibiotics, leukocyte count, albumin and serum creatinine to predict treatment response or mortality from Clostridium difficile infection.",0,ATLAS Score Clinical Classification (C147589),4
