package_date,short_name,bc_id,ncit_code,parent_bc_id,bc_categories,synonyms,result_scales,definition,system,system_name,code,dec_id,ncit_dec_code,dec_label,data_type,example_set
2026-03-31,Abdominal Skinfold Thickness,C103346,C103346,C77537,Vital Signs;Body Measurements,ABSKNF,Quantitative,A measurement for determining the subcutaneous fat layer thickness whereby a pinch of skin approximately five centimeters to the right of the umbilicus is measured using calipers.,http://loinc.org/,LOINC,8355-0,C82515,C82515,Collection Date Time,datetime,
2026-03-31,Abdominal Skinfold Thickness,C103346,C103346,C77537,Vital Signs;Body Measurements,ABSKNF,Quantitative,A measurement for determining the subcutaneous fat layer thickness whereby a pinch of skin approximately five centimeters to the right of the umbilicus is measured using calipers.,http://loinc.org/,LOINC,8355-0,C42578,C42578,Unit of Length,string,mm
2026-03-31,Abdominal Skinfold Thickness,C103346,C103346,C77537,Vital Signs;Body Measurements,ABSKNF,Quantitative,A measurement for determining the subcutaneous fat layer thickness whereby a pinch of skin approximately five centimeters to the right of the umbilicus is measured using calipers.,http://loinc.org/,LOINC,8355-0,C70856,C70856,Observation Result,decimal,
2026-03-31,Additional Disease-Related Findings,C189634,C189634,C36291,Respiratory System Findings,ADDRELF,Nominal;Narrative,"A determination of additional abnormalities and/or other observations that may be associated with the disease of interest, for which a targeted test has not been identified in the data.",,,,C82515,C82515,Collection Date Time,datetime,
2026-03-31,Additional Disease-Related Findings,C189634,C189634,C36291,Respiratory System Findings,ADDRELF,Nominal;Narrative,"A determination of additional abnormalities and/or other observations that may be associated with the disease of interest, for which a targeted test has not been identified in the data.",,,,C70856,C70856,Observation Result,string,
2026-03-31,Adverse Event [RETIRED],C41331,C41331,,Subject Disposition,,,"Any unfavorable or unintended disease, sign, or symptom (including an abnormal laboratory finding) that is temporally associated with the use of a medical treatment or procedure, and that may or may not be considered related to the medical treatment or procedure. Such events can be related to the intervention, dose, route of administration, patient, or caused by an interaction with another drug(s) or procedure(s). [RETIRED]",,,,,,,,
2026-03-31,Air Trapping Measurement,C170620,C170620,C38081,Respiratory System Findings;Pulmonary Function Test,Air Trapping;AIRTRAP,Quantitative,A measurement of the gas retention in a specified intrapulmonary space at the end of exhalation.,,,,C82515,C82515,Collection Date Time,datetime,
2026-03-31,Air Trapping Measurement,C170620,C170620,C38081,Respiratory System Findings;Pulmonary Function Test,Air Trapping;AIRTRAP,Quantitative,A measurement of the gas retention in a specified intrapulmonary space at the end of exhalation.,,,,C70856,C70856,Observation Result,decimal,
2026-03-31,Air Trapping Measurement,C170620,C170620,C38081,Respiratory System Findings;Pulmonary Function Test,Air Trapping;AIRTRAP,Quantitative,A measurement of the gas retention in a specified intrapulmonary space at the end of exhalation.,,,,C44279,C44279,Unit of Volume,string,mL;L
2026-03-31,Airway Conductance,C124422,C124422,C38081,Respiratory System Findings;Pulmonary Function Test,GAW,Quantitative,"The instantaneous rate of gas flow in the airway, expressed as the pressure difference between any given part of the airway and the alveoli; it is the reciprocal of airway resistance (Raw).",,,,C70856,C70856,Observation Result,decimal,
2026-03-31,Airway Conductance,C124422,C124422,C38081,Respiratory System Findings;Pulmonary Function Test,GAW,Quantitative,"The instantaneous rate of gas flow in the airway, expressed as the pressure difference between any given part of the airway and the alveoli; it is the reciprocal of airway resistance (Raw).",,,,C82515,C82515,Collection Date Time,datetime,
2026-03-31,Airway Resistance,C120927,C120927,C38081,Respiratory System Findings;Pulmonary Function Test,AIRRES;RAW;Raw,Quantitative,An assessment of the opposition to airflow through the respiratory tract on inspiration and/or expiration.,http://loinc.org/,LOINC,75946-4,C70856,C70856,Observation Result,decimal,
2026-03-31,Airway Resistance,C120927,C120927,C38081,Respiratory System Findings;Pulmonary Function Test,AIRRES;RAW;Raw,Quantitative,An assessment of the opposition to airflow through the respiratory tract on inspiration and/or expiration.,http://loinc.org/,LOINC,75946-4,C67332,C67332,Manometric Unit of Pressure,string,cmH2O*s/mL
2026-03-31,Airway Resistance,C120927,C120927,C38081,Respiratory System Findings;Pulmonary Function Test,AIRRES;RAW;Raw,Quantitative,An assessment of the opposition to airflow through the respiratory tract on inspiration and/or expiration.,http://loinc.org/,LOINC,75946-4,C82515,C82515,Collection Date Time,datetime,
