package_date,short_name,bc_id,ncit_code,parent_bc_id,bc_categories,synonyms,result_scales,definition,system,system_name,code,dec_id,ncit_dec_code,dec_label,data_type,example_set
2026-07-14,6 Minute Walk Functional Test 2008 Version,C115789,C115789,C222260,QRS;Functional Assessment;6 Minute Walk Functional Test;SIX MINUTE WALK;SIXMW1;6MWT,6MWT;SIXMW1;SIX MINUTE WALK,,"A standardized rating scale developed by Bruno Blake in 1963, which is a performance-based evaluation of functional exercise capacity in subjects with chronic respiratory disease and heart failure, as well as other populations such as healthy older adults and people suffering from fibromyalgia and scleroderma. This functional test contains 6 items and measures the distance an individual is able to walk over a total of six minutes on a hard, flat surface.",,,,C82525,C82525,Test Occurrence,string,N;Y
2026-07-14,6 Minute Walk Functional Test 2008 Version,C115789,C115789,C222260,QRS;Functional Assessment;6 Minute Walk Functional Test;SIX MINUTE WALK;SIXMW1;6MWT,6MWT;SIXMW1;SIX MINUTE WALK,,"A standardized rating scale developed by Bruno Blake in 1963, which is a performance-based evaluation of functional exercise capacity in subjects with chronic respiratory disease and heart failure, as well as other populations such as healthy older adults and people suffering from fibromyalgia and scleroderma. This functional test contains 6 items and measures the distance an individual is able to walk over a total of six minutes on a hard, flat surface.",,,,C82515,C82515,Collection Date Time,datetime,
2026-07-14,6 Minute Walk Functional Test 2008 Version,C115789,C115789,C222260,QRS;Functional Assessment;6 Minute Walk Functional Test;SIX MINUTE WALK;SIXMW1;6MWT,6MWT;SIXMW1;SIX MINUTE WALK,,"A standardized rating scale developed by Bruno Blake in 1963, which is a performance-based evaluation of functional exercise capacity in subjects with chronic respiratory disease and heart failure, as well as other populations such as healthy older adults and people suffering from fibromyalgia and scleroderma. This functional test contains 6 items and measures the distance an individual is able to walk over a total of six minutes on a hard, flat surface.",,,,C93300,C93300,Assistive Device,string,cane
2026-07-14,6 Minute Walk Functional Test 2008 Version,C115789,C115789,C222260,QRS;Functional Assessment;6 Minute Walk Functional Test;SIX MINUTE WALK;SIXMW1;6MWT,6MWT;SIXMW1;SIX MINUTE WALK,,"A standardized rating scale developed by Bruno Blake in 1963, which is a performance-based evaluation of functional exercise capacity in subjects with chronic respiratory disease and heart failure, as well as other populations such as healthy older adults and people suffering from fibromyalgia and scleroderma. This functional test contains 6 items and measures the distance an individual is able to walk over a total of six minutes on a hard, flat surface.",,,,C25372,C25372,Category,string,SIX MINUTE WALK
2026-07-14,6 Minute Walk Functional Test 2008 Version,C115789,C115789,C222260,QRS;Functional Assessment;6 Minute Walk Functional Test;SIX MINUTE WALK;SIXMW1;6MWT,6MWT;SIXMW1;SIX MINUTE WALK,,"A standardized rating scale developed by Bruno Blake in 1963, which is a performance-based evaluation of functional exercise capacity in subjects with chronic respiratory disease and heart failure, as well as other populations such as healthy older adults and people suffering from fibromyalgia and scleroderma. This functional test contains 6 items and measures the distance an individual is able to walk over a total of six minutes on a hard, flat surface.",,,,C82556,C82556,Not-Done Reason,string,
2026-07-14,AJCC Cancer Staging Manual,C177561,C177561,C118969,QRS;Clinical or Research Assessment Classification;AJCC Cancer Staging Manual,AJCC Cancer Staging Manual;ajcc staging system edition,,The criteria developed by the American Joint Committee on Cancer (AJCC) for the classification and staging of neoplastic diseases.,,,,,,,,
2026-07-14,AJCC Cancer Staging Manual 7th Edition,C125755,C125755,C177561,QRS;Clinical or Research Assessment Classification;AJCC Cancer Staging Manual 7th Edition Clinical Classification;AJCC V7;AJCC1;AJCC7,AJCC V7;AJCC1;AJCC7,,"The 7th edition of the criteria developed by the American Joint Committee on Cancer (AJCC) in 2010, used for the classification and staging of neoplastic diseases.",,,,,,,,
2026-07-14,AJCC v7 - Anatomic Stage,C141699,C141699,C141675,QRS;Clinical or Research Assessment Classification;AJCC Cancer Staging Manual 7th Edition Clincal Classification;AJCC V7;AJCC V7 Clinical Classification Question,AJCC1-Anatomic;Stage;AJCC104,,AJCC Cancer Staging Manual 7th Edition (AJCC v7) Anatomic stage.,,,,C82515,C82515,Collection Date Time,datetime,
2026-07-14,AJCC v7 - Anatomic Stage,C141699,C141699,C141675,QRS;Clinical or Research Assessment Classification;AJCC Cancer Staging Manual 7th Edition Clincal Classification;AJCC V7;AJCC V7 Clinical Classification Question,AJCC1-Anatomic;Stage;AJCC104,,AJCC Cancer Staging Manual 7th Edition (AJCC v7) Anatomic stage.,,,,C91106,C91106,Clinical or Research Assessment Answer,string,Occult;0;1A;1B;IIA;IIB;IIIA;IIIB;IV;Stage unknown
2026-07-14,AJCC v7 - Anatomic Stage,C141699,C141699,C141675,QRS;Clinical or Research Assessment Classification;AJCC Cancer Staging Manual 7th Edition Clincal Classification;AJCC V7;AJCC V7 Clinical Classification Question,AJCC1-Anatomic;Stage;AJCC104,,AJCC Cancer Staging Manual 7th Edition (AJCC v7) Anatomic stage.,,,,C25692,C25692,Subcategory,string,
2026-07-14,AJCC v7 - Anatomic Stage,C141699,C141699,C141675,QRS;Clinical or Research Assessment Classification;AJCC Cancer Staging Manual 7th Edition Clincal Classification;AJCC V7;AJCC V7 Clinical Classification Question,AJCC1-Anatomic;Stage;AJCC104,,AJCC Cancer Staging Manual 7th Edition (AJCC v7) Anatomic stage.,,,,C46126,C46126,Ordinal Position,string,Occult;0;1A;1B;IIA;IIB;IIIA;IIIB;IV;Stage unknown
2026-07-14,AJCC v7 - Anatomic Stage,C141699,C141699,C141675,QRS;Clinical or Research Assessment Classification;AJCC Cancer Staging Manual 7th Edition Clincal Classification;AJCC V7;AJCC V7 Clinical Classification Question,AJCC1-Anatomic;Stage;AJCC104,,AJCC Cancer Staging Manual 7th Edition (AJCC v7) Anatomic stage.,,,,C25372,C25372,Category,string,AJCC V7
2026-07-14,AJCC v7 - Distant Metastasis (M),C141698,C141698,C141675,QRS;Clinical or Research Assessment Classification;AJCC Cancer Staging Manual 7th Edition Clincal Classification;AJCC V7;AJCC V7 Clinical Classification Question,AJCC1-Distant Metastasis (M);AJCC103,,AJCC Cancer Staging Manual 7th Edition (AJCC v7) Distant metastasis (M).,,,,C82515,C82515,Collection Date Time,datetime,
2026-07-14,AJCC v7 - Distant Metastasis (M),C141698,C141698,C141675,QRS;Clinical or Research Assessment Classification;AJCC Cancer Staging Manual 7th Edition Clincal Classification;AJCC V7;AJCC V7 Clinical Classification Question,AJCC1-Distant Metastasis (M);AJCC103,,AJCC Cancer Staging Manual 7th Edition (AJCC v7) Distant metastasis (M).,,,,C46126,C46126,Ordinal Position,string,M0;M1;M1a;M1b
2026-07-14,AJCC v7 - Distant Metastasis (M),C141698,C141698,C141675,QRS;Clinical or Research Assessment Classification;AJCC Cancer Staging Manual 7th Edition Clincal Classification;AJCC V7;AJCC V7 Clinical Classification Question,AJCC1-Distant Metastasis (M);AJCC103,,AJCC Cancer Staging Manual 7th Edition (AJCC v7) Distant metastasis (M).,,,,C25372,C25372,Category,string,AJCC V7
2026-07-14,AJCC v7 - Distant Metastasis (M),C141698,C141698,C141675,QRS;Clinical or Research Assessment Classification;AJCC Cancer Staging Manual 7th Edition Clincal Classification;AJCC V7;AJCC V7 Clinical Classification Question,AJCC1-Distant Metastasis (M);AJCC103,,AJCC Cancer Staging Manual 7th Edition (AJCC v7) Distant metastasis (M).,,,,C25692,C25692,Subcategory,string,
2026-07-14,AJCC v7 - Distant Metastasis (M),C141698,C141698,C141675,QRS;Clinical or Research Assessment Classification;AJCC Cancer Staging Manual 7th Edition Clincal Classification;AJCC V7;AJCC V7 Clinical Classification Question,AJCC1-Distant Metastasis (M);AJCC103,,AJCC Cancer Staging Manual 7th Edition (AJCC v7) Distant metastasis (M).,,,,C91106,C91106,Clinical or Research Assessment Answer,string,M0;M1;M1a;M1b
2026-07-14,AJCC v7 - Primary Tumor (T),C141696,C141696,C141675,QRS;Clinical or Research Assessment Classification;AJCC Cancer Staging Manual 7th Edition Clincal Classification;AJCC V7;AJCC V7 Clinical Classification Question,,,AJCC Cancer Staging Manual 7th Edition (AJCC v7) Primary tumor (T).,,,,C82515,C82515,Collection Date Time,datetime,
2026-07-14,AJCC v7 - Primary Tumor (T),C141696,C141696,C141675,QRS;Clinical or Research Assessment Classification;AJCC Cancer Staging Manual 7th Edition Clincal Classification;AJCC V7;AJCC V7 Clinical Classification Question,,,AJCC Cancer Staging Manual 7th Edition (AJCC v7) Primary tumor (T).,,,,C25692,C25692,Subcategory,string,
2026-07-14,AJCC v7 - Primary Tumor (T),C141696,C141696,C141675,QRS;Clinical or Research Assessment Classification;AJCC Cancer Staging Manual 7th Edition Clincal Classification;AJCC V7;AJCC V7 Clinical Classification Question,,,AJCC Cancer Staging Manual 7th Edition (AJCC v7) Primary tumor (T).,,,,C25372,C25372,Category,string,AJCC V7
2026-07-14,AJCC v7 - Primary Tumor (T),C141696,C141696,C141675,QRS;Clinical or Research Assessment Classification;AJCC Cancer Staging Manual 7th Edition Clincal Classification;AJCC V7;AJCC V7 Clinical Classification Question,,,AJCC Cancer Staging Manual 7th Edition (AJCC v7) Primary tumor (T).,,,,C46126,C46126,Ordinal Position,string,TX;T0;Tis;T1;T1a;T1b;T2;T2a;T2b;T3;T4
2026-07-14,AJCC v7 - Primary Tumor (T),C141696,C141696,C141675,QRS;Clinical or Research Assessment Classification;AJCC Cancer Staging Manual 7th Edition Clincal Classification;AJCC V7;AJCC V7 Clinical Classification Question,,,AJCC Cancer Staging Manual 7th Edition (AJCC v7) Primary tumor (T).,,,,C91106,C91106,Clinical or Research Assessment Answer,string,TX;T0;Tis;T1;T1a;T1b;T2;T2a;T2b;T3;T4
2026-07-14,AJCC v7 - Regional Lymph Nodes (N),C141697,C141697,C141675,QRS;Clinical or Research Assessment Classification;AJCC Cancer Staging Manual 7th Edition Clincal Classification;AJCC V7;AJCC V7 Clinical Classification Question,AJCC1-Regional Lymph Nodes (N);AJCC102,,AJCC Cancer Staging Manual 7th Edition (AJCC v7) Regional lymph nodes (N).,,,,C25692,C25692,Subcategory,string,
2026-07-14,AJCC v7 - Regional Lymph Nodes (N),C141697,C141697,C141675,QRS;Clinical or Research Assessment Classification;AJCC Cancer Staging Manual 7th Edition Clincal Classification;AJCC V7;AJCC V7 Clinical Classification Question,AJCC1-Regional Lymph Nodes (N);AJCC102,,AJCC Cancer Staging Manual 7th Edition (AJCC v7) Regional lymph nodes (N).,,,,C46126,C46126,Ordinal Position,string,NX;N0;N1;N2;N3
2026-07-14,AJCC v7 - Regional Lymph Nodes (N),C141697,C141697,C141675,QRS;Clinical or Research Assessment Classification;AJCC Cancer Staging Manual 7th Edition Clincal Classification;AJCC V7;AJCC V7 Clinical Classification Question,AJCC1-Regional Lymph Nodes (N);AJCC102,,AJCC Cancer Staging Manual 7th Edition (AJCC v7) Regional lymph nodes (N).,,,,C82515,C82515,Collection Date Time,datetime,
