package_date,short_name,bc_id,ncit_code,parent_bc_id,bc_categories,synonyms,result_scales,definition,system,system_name,code,dec_id,ncit_dec_code,dec_label,data_type,example_set
2026-05-26,Subject Currently Breastfeeding a Child Indicator,C189360,C189360,C25180,Reproductive Findings;Clinical Findings Indicator;Indicator,SCBFCIND;Subj Currently Breastfeeding a Child Ind,Nominal,An indication as to whether the individual is currently breastfeeding a child.,,,,C70856,C70856,Observation Result,string,N;Y;U
2026-05-26,Sudden Death Indicator,C174284,C174284,C93546,Death Diagnosis and Details;Death Indicator,SDTHIND,Nominal,An indication as to whether death was unexpected or occurred without warning.,,,,C82515,C82515,Collection Date Time,datetime,
2026-05-26,Sudden Death Indicator,C174284,C174284,C93546,Death Diagnosis and Details;Death Indicator,SDTHIND,Nominal,An indication as to whether death was unexpected or occurred without warning.,,,,C70856,C70856,Observation Result,string,N;Y;U
2026-05-26,Surgical Damage Indicator,C179824,C179824,C25180,Clinical Findings Indicator;Indicator;Urinary System Findings,SGDMGIND;Surgical Damage Indicator,Nominal,An indication as to whether damage occurred related to a surgical procedure.,,,,C82515,C82515,Collection Date Time,datetime,
2026-05-26,Surgical Damage Indicator,C179824,C179824,C25180,Clinical Findings Indicator;Indicator;Urinary System Findings,SGDMGIND;Surgical Damage Indicator,Nominal,An indication as to whether damage occurred related to a surgical procedure.,,,,C82535,C82535,Test Method,string,X-Ray;CT Scan
2026-05-26,Surgical Damage Indicator,C179824,C179824,C25180,Clinical Findings Indicator;Indicator;Urinary System Findings,SGDMGIND;Surgical Damage Indicator,Nominal,An indication as to whether damage occurred related to a surgical procedure.,,,,C25185,C25185,Laterality,string,Left;Right
2026-05-26,Surgical Damage Indicator,C179824,C179824,C25180,Clinical Findings Indicator;Indicator;Urinary System Findings,SGDMGIND;Surgical Damage Indicator,Nominal,An indication as to whether damage occurred related to a surgical procedure.,,,,C70856,C70856,Observation Result,string,N;Y;U
2026-05-26,Surgical Damage Indicator,C179824,C179824,C25180,Clinical Findings Indicator;Indicator;Urinary System Findings,SGDMGIND;Surgical Damage Indicator,Nominal,An indication as to whether damage occurred related to a surgical procedure.,,,,C54215,C54215,Directionality,string,Inner;Outer;Anterior;Dorsal;Superior
2026-05-26,Surgical Damage Indicator,C179824,C179824,C25180,Clinical Findings Indicator;Indicator;Urinary System Findings,SGDMGIND;Surgical Damage Indicator,Nominal,An indication as to whether damage occurred related to a surgical procedure.,,,,C13717,C13717,Anatomic Site,string,Kidney
2026-05-26,Swollen Indicator,C127774,C127774,C119241,Musculoskeletal Finding;Symptom Indicator,SWLLIND,Nominal,An indicator as to whether the subject has symptoms of swelling.,,,,C82515,C82515,Collection Date Time,datetime,
2026-05-26,Swollen Indicator,C127774,C127774,C119241,Musculoskeletal Finding;Symptom Indicator,SWLLIND,Nominal,An indicator as to whether the subject has symptoms of swelling.,,,,C70856,C70856,Observation Result,string,N;Y;U
2026-05-26,Swollen Indicator,C127774,C127774,C119241,Musculoskeletal Finding;Symptom Indicator,SWLLIND,Nominal,An indicator as to whether the subject has symptoms of swelling.,,,,C82535,C82535,Test Method,string,
2026-05-26,Swollen Indicator,C127774,C127774,C119241,Musculoskeletal Finding;Symptom Indicator,SWLLIND,Nominal,An indicator as to whether the subject has symptoms of swelling.,,,,C13717,C13717,Anatomic Site,string,
2026-05-26,Swollen Indicator,C127774,C127774,C119241,Musculoskeletal Finding;Symptom Indicator,SWLLIND,Nominal,An indicator as to whether the subject has symptoms of swelling.,,,,C25185,C25185,Laterality,string,Right;Left
2026-05-26,Target Indicator,C178053,C178053,C25180,Oncology Standards;Tumor/Lesion Identification;TU;RECIST 1.1,TIND,Nominal,"An indication as to whether a target tumor, lesion, or site of disease is present.",,,,C82515,C82515,Collection Date Time,datetime,
2026-05-26,Target Indicator,C178053,C178053,C25180,Oncology Standards;Tumor/Lesion Identification;TU;RECIST 1.1,TIND,Nominal,"An indication as to whether a target tumor, lesion, or site of disease is present.",,,,C51824,C51824,Evaluator,string,Investigator
2026-05-26,Target Indicator,C178053,C178053,C25180,Oncology Standards;Tumor/Lesion Identification;TU;RECIST 1.1,TIND,Nominal,"An indication as to whether a target tumor, lesion, or site of disease is present.",,,,C117043,C117043,Evaluator Identifier,string,Radiologist 1;Radiologist 2;Radiologist 3
2026-05-26,Target Indicator,C178053,C178053,C25180,Oncology Standards;Tumor/Lesion Identification;TU;RECIST 1.1,TIND,Nominal,"An indication as to whether a target tumor, lesion, or site of disease is present.",,,,C70856,C70856,Observation Result,string,N;Y;U
2026-05-26,Tenderness Indicator,C127775,C127775,C119241,Reproductive Findings;Clinical Findings Indicator;Indicator,TNDRIND,Nominal,An indicator as to whether the subject has symptoms of tenderness.,,,,C25185,C25185,Laterality,string,Left;Right
2026-05-26,Tenderness Indicator,C127775,C127775,C119241,Reproductive Findings;Clinical Findings Indicator;Indicator,TNDRIND,Nominal,An indicator as to whether the subject has symptoms of tenderness.,,,,C70856,C70856,Observation Result,string,N;Y;U
2026-05-26,Tenderness Indicator,C127775,C127775,C119241,Reproductive Findings;Clinical Findings Indicator;Indicator,TNDRIND,Nominal,An indicator as to whether the subject has symptoms of tenderness.,,,,C13717,C13717,Anatomic Site,string,
2026-05-26,Tenderness Indicator,C127775,C127775,C119241,Reproductive Findings;Clinical Findings Indicator;Indicator,TNDRIND,Nominal,An indicator as to whether the subject has symptoms of tenderness.,,,,C82515,C82515,Collection Date Time,datetime,
2026-05-26,Total Body Fat to Total Body Mass Ratio Measurement,C139218,C139218,C19332,Musculoskeletal Finding;Personal Attribute,BODYFATP,Quantitative,"The amount of an individual's total body mass that is fat, expressed as a percent.",,,,C82515,C82515,Collection Date Time,datetime,
2026-05-26,Total Body Fat to Total Body Mass Ratio Measurement,C139218,C139218,C19332,Musculoskeletal Finding;Personal Attribute,BODYFATP,Quantitative,"The amount of an individual's total body mass that is fat, expressed as a percent.",,,,C70856,C70856,Observation Result,decimal,
2026-05-26,Total Body Fat to Total Body Mass Ratio Measurement,C139218,C139218,C19332,Musculoskeletal Finding;Personal Attribute,BODYFATP,Quantitative,"The amount of an individual's total body mass that is fat, expressed as a percent.",,,,C48570,C48570,Percent Unit,string,%
2026-05-26,Total Body Fat to Total Body Mass Ratio Measurement,C139218,C139218,C19332,Musculoskeletal Finding;Personal Attribute,BODYFATP,Quantitative,"The amount of an individual's total body mass that is fat, expressed as a percent.",,,,C82535,C82535,Test Method,string,
2026-05-26,Tumor Examination,C90479,C90479,,Medical Examination,TUMEX,,An assessment or evaluation of a neoplastic mass.,,,,,,,,
2026-05-26,Tumor Fragmentation,C96642,C96642,C82547,Abnormal Finding;Tumor Identification,Tumor Split;Tumor Mass Fragmentation,Nominal,A finding indicating that a tumor mass has been divided into two or more tumors.,,,,C117442,C117442,Tumor Identifier Reference Identifier,string,IMG-00001;IMG-00002
2026-05-26,Tumor Fragmentation,C96642,C96642,C82547,Abnormal Finding;Tumor Identification,Tumor Split;Tumor Mass Fragmentation,Nominal,A finding indicating that a tumor mass has been divided into two or more tumors.,,,,C117436,C117436,Tumor Identifier Link Identifier,string,T04.1;T04.2
2026-05-26,Tumor Fragmentation,C96642,C96642,C82547,Abnormal Finding;Tumor Identification,Tumor Split;Tumor Mass Fragmentation,Nominal,A finding indicating that a tumor mass has been divided into two or more tumors.,,,,C54215,C54215,Directionality,string,Upper
2026-05-26,Tumor Fragmentation,C96642,C96642,C82547,Abnormal Finding;Tumor Identification,Tumor Split;Tumor Mass Fragmentation,Nominal,A finding indicating that a tumor mass has been divided into two or more tumors.,,,,C82535,C82535,Test Method,string,MRI;CT Scan;Ultrasound;Photography
2026-05-26,Tumor Fragmentation,C96642,C96642,C82547,Abnormal Finding;Tumor Identification,Tumor Split;Tumor Mass Fragmentation,Nominal,A finding indicating that a tumor mass has been divided into two or more tumors.,,,,C170500,C170500,Result Anatomical Location,string,"Supraclavicular Lymph Node;Thoracic Lymph Node;Thyroid Gland;Skin of the Trunk;Mediastinal Lymph Node;Cerebellum;Lung, Left Lower Lobe;Femoral Lymph Node"
2026-05-26,Tumor Fragmentation,C96642,C96642,C82547,Abnormal Finding;Tumor Identification,Tumor Split;Tumor Mass Fragmentation,Nominal,A finding indicating that a tumor mass has been divided into two or more tumors.,,,,C51824,C51824,Evaluator,string,Investigator
2026-05-26,Tumor Fragmentation,C96642,C96642,C82547,Abnormal Finding;Tumor Identification,Tumor Split;Tumor Mass Fragmentation,Nominal,A finding indicating that a tumor mass has been divided into two or more tumors.,,,,C117043,C117043,Evaluator Identifier,string,Radiologist 1;Radiologist 2;Radiologist 3
2026-05-26,Tumor Fragmentation,C96642,C96642,C82547,Abnormal Finding;Tumor Identification,Tumor Split;Tumor Mass Fragmentation,Nominal,A finding indicating that a tumor mass has been divided into two or more tumors.,,,,C25185,C25185,Laterality,string,Right;Left
2026-05-26,Tumor Fragmentation,C96642,C96642,C82547,Abnormal Finding;Tumor Identification,Tumor Split;Tumor Mass Fragmentation,Nominal,A finding indicating that a tumor mass has been divided into two or more tumors.,,,,C70856,C70856,Observation Result,string,Target
2026-05-26,Tumor Fragmentation,C96642,C96642,C82547,Abnormal Finding;Tumor Identification,Tumor Split;Tumor Mass Fragmentation,Nominal,A finding indicating that a tumor mass has been divided into two or more tumors.,,,,C82515,C82515,Collection Date Time,datetime,
2026-05-26,Tumor Fragmentation Assessment,C225438,C225438,C90479,Oncology Standards;Tumor/Lesion Identification;TU;RECIST 1.1,TUSPLIT;Tumor Split,Nominal,An assessment as to whether a single tumor has divided into two or more tumors.,,,,C82535,C82535,Test Method,string,MRI;CT Scan;Ultrasound;Photography
2026-05-26,Tumor Fragmentation Assessment,C225438,C225438,C90479,Oncology Standards;Tumor/Lesion Identification;TU;RECIST 1.1,TUSPLIT;Tumor Split,Nominal,An assessment as to whether a single tumor has divided into two or more tumors.,,,,C117442,C117442,Tumor Identifier Reference Identifier,string,IMG-00001;IMG-00002
2026-05-26,Tumor Fragmentation Assessment,C225438,C225438,C90479,Oncology Standards;Tumor/Lesion Identification;TU;RECIST 1.1,TUSPLIT;Tumor Split,Nominal,An assessment as to whether a single tumor has divided into two or more tumors.,,,,C170500,C170500,Result Anatomical Location,string,"Supraclavicular Lymph Node;Thoracic Lymph Node;Thyroid Gland;Skin of the Trunk;Mediastinal Lymph Node;Cerebellum;Lung, Left Lower Lobe;Femoral Lymph Node"
2026-05-26,Tumor Fragmentation Assessment,C225438,C225438,C90479,Oncology Standards;Tumor/Lesion Identification;TU;RECIST 1.1,TUSPLIT;Tumor Split,Nominal,An assessment as to whether a single tumor has divided into two or more tumors.,,,,C70856,C70856,Observation Result,string,Target
2026-05-26,Tumor Fragmentation Assessment,C225438,C225438,C90479,Oncology Standards;Tumor/Lesion Identification;TU;RECIST 1.1,TUSPLIT;Tumor Split,Nominal,An assessment as to whether a single tumor has divided into two or more tumors.,,,,C51824,C51824,Evaluator,string,Investigator
2026-05-26,Tumor Fragmentation Assessment,C225438,C225438,C90479,Oncology Standards;Tumor/Lesion Identification;TU;RECIST 1.1,TUSPLIT;Tumor Split,Nominal,An assessment as to whether a single tumor has divided into two or more tumors.,,,,C25185,C25185,Laterality,string,Right;Left
2026-05-26,Tumor Fragmentation Assessment,C225438,C225438,C90479,Oncology Standards;Tumor/Lesion Identification;TU;RECIST 1.1,TUSPLIT;Tumor Split,Nominal,An assessment as to whether a single tumor has divided into two or more tumors.,,,,C54215,C54215,Directionality,string,Upper
2026-05-26,Tumor Fragmentation Assessment,C225438,C225438,C90479,Oncology Standards;Tumor/Lesion Identification;TU;RECIST 1.1,TUSPLIT;Tumor Split,Nominal,An assessment as to whether a single tumor has divided into two or more tumors.,,,,C82515,C82515,Collection Date Time,datetime,
2026-05-26,Tumor Fragmentation Assessment,C225438,C225438,C90479,Oncology Standards;Tumor/Lesion Identification;TU;RECIST 1.1,TUSPLIT;Tumor Split,Nominal,An assessment as to whether a single tumor has divided into two or more tumors.,,,,C117043,C117043,Evaluator Identifier,string,Radiologist 1;Radiologist 2;Radiologist 3
2026-05-26,Tumor Fragmentation Assessment,C225447,C225438,C90479,Oncology Standards;Tumor/Lesion Identification;TU,TUSPLIT;Tumor Split,Nominal,An assessment as to whether a single tumor has divided into two or more tumors.,,,,C117043,C117043,Evaluator Identifier,string,Radiologist 1;Radiologist 2;Radiologist 3
2026-05-26,Tumor Fragmentation Assessment,C225439,C225438,C90479,Oncology Standards;Tumor/Lesion Identification;TU,TUSPLIT;Tumor Split,Nominal,An assessment as to whether a single tumor has divided into two or more tumors.,,,,C82515,C82515,Collection Date Time,datetime,
2026-05-26,Tumor Fragmentation Assessment,C225446,C225438,C90479,Oncology Standards;Tumor/Lesion Identification;TU,TUSPLIT;Tumor Split,Nominal,An assessment as to whether a single tumor has divided into two or more tumors.,,,,C117436,C117436,Tumor Identifier Link Identifier,string,T02/T03
2026-05-26,Tumor Fragmentation Assessment,C225446,C225438,C90479,Oncology Standards;Tumor/Lesion Identification;TU,TUSPLIT;Tumor Split,Nominal,An assessment as to whether a single tumor has divided into two or more tumors.,,,,C82515,C82515,Collection Date Time,datetime,
2026-05-26,Tumor Fragmentation Assessment,C225445,C225438,C90479,Oncology Standards;Tumor/Lesion Identification;TU,TUSPLIT;Tumor Split,Nominal,An assessment as to whether a single tumor has divided into two or more tumors.,,,,C25185,C25185,Laterality,string,Right;Left
2026-05-26,Tumor Fragmentation Assessment,C225445,C225438,C90479,Oncology Standards;Tumor/Lesion Identification;TU,TUSPLIT;Tumor Split,Nominal,An assessment as to whether a single tumor has divided into two or more tumors.,,,,C117442,C117442,Tumor Identifier Reference Identifier,string,IMG-00001;IMG-00002
2026-05-26,Tumor Fragmentation Assessment,C225444,C225438,C90479,Oncology Standards;Tumor/Lesion Identification;TU,TUSPLIT;Tumor Split,Nominal,An assessment as to whether a single tumor has divided into two or more tumors.,,,,C117043,C117043,Evaluator Identifier,string,Radiologist 1;Radiologist 2;Radiologist 3
2026-05-26,Tumor Fragmentation Assessment,C225444,C225438,C90479,Oncology Standards;Tumor/Lesion Identification;TU,TUSPLIT;Tumor Split,Nominal,An assessment as to whether a single tumor has divided into two or more tumors.,,,,C117436,C117436,Tumor Identifier Link Identifier,string,T04.1;T04.2
2026-05-26,Tumor Fragmentation Assessment,C225443,C225438,C90479,Oncology Standards;Tumor/Lesion Identification;TU,TUSPLIT;Tumor Split,Nominal,An assessment as to whether a single tumor has divided into two or more tumors.,,,,C51824,C51824,Evaluator,string,Investigator
2026-05-26,Tumor Fragmentation Assessment,C225439,C225438,C90479,Oncology Standards;Tumor/Lesion Identification;TU,TUSPLIT;Tumor Split,Nominal,An assessment as to whether a single tumor has divided into two or more tumors.,,,,C25185,C25185,Laterality,string,Right;Left
2026-05-26,Tumor Fragmentation Assessment,C225438,C225438,C90479,Oncology Standards;Tumor/Lesion Identification;TU;RECIST 1.1,TUSPLIT;Tumor Split,Nominal,An assessment as to whether a single tumor has divided into two or more tumors.,,,,C117436,C117436,Tumor Identifier Link Identifier,string,T04.1;T04.2
2026-05-26,Tumor Fragmentation Assessment,C225440,C225438,C90479,Oncology Standards;Tumor/Lesion Identification;TU,TUSPLIT;Tumor Split,Nominal,An assessment as to whether a single tumor has divided into two or more tumors.,,,,C51824,C51824,Evaluator,string,Investigator
2026-05-26,Tumor Fragmentation Assessment,C225440,C225438,C90479,Oncology Standards;Tumor/Lesion Identification;TU,TUSPLIT;Tumor Split,Nominal,An assessment as to whether a single tumor has divided into two or more tumors.,,,,C54215,C54215,Directionality,string,Upper
2026-05-26,Tumor Fragmentation Assessment,C225441,C225438,C90479,Oncology Standards;Tumor/Lesion Identification;TU,TUSPLIT;Tumor Split,Nominal,An assessment as to whether a single tumor has divided into two or more tumors.,,,,C70856,C70856,Observation Result,string,Target
2026-05-26,Tumor Fragmentation Assessment,C225441,C225438,C90479,Oncology Standards;Tumor/Lesion Identification;TU,TUSPLIT;Tumor Split,Nominal,An assessment as to whether a single tumor has divided into two or more tumors.,,,,C70856,C70856,Observation Result,string,Target
