bc_short_name,bc_id,bc_short_name_id,parent_bc_id,bc_categories,bc_synonyms,result_scales,bc_definition,bc_hierarchy_level,bc_hierarchy_full,dec_n
Forced Expiratory Volume at Peak Expiratory Flow,C139249,Forced Expiratory Volume at Peak Expiratory Flow (C139249),C38081,Respiratory System Findings;Pulmonary Function Test,FEV at PEF;FEV_PEF,Quantitative,The volume of gas that is forcibly exhaled at the peak of expiratory flow.,1,Pulmonary Function Test (C38081); Forced Expiratory Volume at Peak Expiratory Flow (C139249),3
Forced Expiratory Volume in 0.05 Second,C139246,Forced Expiratory Volume in 0.05 Second (C139246),C38081,Respiratory System Findings;Pulmonary Function Test,FEV_05;FEV 0.05s,Quantitative,The volume of air that can be forcibly exhaled during the first 0.05 second following maximal inhalation.,1,Pulmonary Function Test (C38081); Forced Expiratory Volume in 0.05 Second (C139246),3
Forced Expiratory Volume in 0.05 Second to FVC Ratio Measurement,C139243,Forced Expiratory Volume in 0.05 Second to FVC Ratio Measurement (C139243),C38081,Respiratory System Findings;Pulmonary Function Test,EV_05FVC;Forced Expiratory Volume in 0.05 S/FVC;Forced Expiratory Volume in 0.05 Seconds over FVC,Quantitative,The ratio of the volume of gas that is forcibly exhaled during the first 0.05 seconds following maximal inhalation to that of the forced vital capacity.,1,Pulmonary Function Test (C38081); Forced Expiratory Volume in 0.05 Second to FVC Ratio Measurement (C139243),3
Forced Expiratory Volume in 0.1 Second,C139247,Forced Expiratory Volume in 0.1 Second (C139247),C38081,Respiratory System Findings;Pulmonary Function Test,FEV_1;FEV 0.1s,Quantitative,The volume of air that can be forcibly exhaled during the first 0.1 second following maximal inhalation.,1,Pulmonary Function Test (C38081); Forced Expiratory Volume in 0.1 Second (C139247),3
Forced Expiratory Volume in 0.1 Second to FVC Ratio Measurement,C139244,Forced Expiratory Volume in 0.1 Second to FVC Ratio Measurement (C139244),C38081,Respiratory System Findings;Pulmonary Function Test,EV_1FVC;Forced Expiratory Volume in 0.1 S/FVC;Forced Expiratory Volume in 0.1 Seconds over FVC,Quantitative,The ratio of the volume of gas that is forcibly exhaled during the first 0.1 seconds following maximal inhalation to that of the forced vital capacity.,1,Pulmonary Function Test (C38081); Forced Expiratory Volume in 0.1 Second to FVC Ratio Measurement (C139244),3
Forced Expiratory Volume in 0.2 Second,C139248,Forced Expiratory Volume in 0.2 Second (C139248),C38081,Respiratory System Findings;Pulmonary Function Test,FEV_2;FEV 0.2s,Quantitative,The volume of air that can be forcibly exhaled during the first 0.2 second following maximal inhalation.,1,Pulmonary Function Test (C38081); Forced Expiratory Volume in 0.2 Second (C139248),3
Forced Expiratory Volume in 0.2 Second to FVC Ratio Measurement,C139245,Forced Expiratory Volume in 0.2 Second to FVC Ratio Measurement (C139245),C38081,Respiratory System Findings;Pulmonary Function Test,EV_2FVC;Forced Expiratory Volume in 0.2 S/FVC;Forced Expiratory Volume in 0.2 Seconds over FVC,Quantitative,The ratio of the volume of gas that is forcibly exhaled during the first 0.2 seconds following maximal inhalation to that of the forced vital capacity.,1,Pulmonary Function Test (C38081); Forced Expiratory Volume in 0.2 Second to FVC Ratio Measurement (C139245),3
Forced Expiratory Volume in 0.5 Second,C139262,Forced Expiratory Volume in 0.5 Second (C139262),C38081,Respiratory System Findings;Pulmonary Function Test,FEV_5;FEV 0.5s,Quantitative,The volume of air that can be forcibly exhaled during the first half second following maximal inhalation.,1,Pulmonary Function Test (C38081); Forced Expiratory Volume in 0.5 Second (C139262),3
Forced Expiratory Volume in 0.75 Second,C174362,Forced Expiratory Volume in 0.75 Second (C174362),C120933,Respiratory System Findings,FEV_75;FEV 0.75s,Quantitative,The volume of air that can be forcibly exhaled during the first 3/4 second following maximal inhalation.,1,Forced Expiratory Volume (C120933); Forced Expiratory Volume in 0.75 Second (C174362),3
Forced Expiratory Volume in 1 Second,C38084,Forced Expiratory Volume in 1 Second (C38084),C38081,Respiratory System Findings;Pulmonary Function Test,FEV1;FEV1%VC;Forced Expiratory Volume 1 Test;PFT/FEV1;Pulmonary Function Test/Forced Expiratory Volume 1,Quantitative,"A test of lung function, the FEV1 is the volume exhaled during the first second of a forced expiratory maneuver started from the level of total lung capacity. It is the most frequently used index for assessing bronchoconstriction or bronchodilatation.",1,Pulmonary Function Test (C38081); Forced Expiratory Volume in 1 Second (C38084),3
