bc_short_name,bc_id,bc_short_name_id,parent_bc_id,bc_categories,bc_synonyms,result_scales,bc_definition,bc_hierarchy_level,bc_hierarchy_full,dec_n
Lung Clearance Index to 2.5% Initial Concentration,C201473,Lung Clearance Index to 2.5% Initial Concentration (C201473),C124425,Respiratory System Findings,LCI to 1/40th Initial Concentration;LCI to 2.5% Initial Concentration;LCI2_5;Lung Clearance Index to 1/40th Initial Concentration,Quantitative,A representative measurement of the number of times the volume of air in the lung at the start of the washout (the Functional Residual Capacity) must be recycled to decrease the tracer to 2.5% (or 1/40th) of its initial concentration.,2,Pulmonary Function Test (C38081); Lung Clearance Index (C124425); Lung Clearance Index to 2.5% Initial Concentration (C201473),2
Lung Clearance Index to 5% Initial Concentration,C201472,Lung Clearance Index to 5% Initial Concentration (C201472),C124425,Respiratory System Findings,LCI to 1/20th Initial Concentration;LCI to 5% Initial Concentration;LCI5;Lung Clearance Index to 1/20th Initial Concentration,Quantitative,A representative measurement of the number of times the volume of air in the lung at the start of the washout (the Functional Residual Capacity) must be recycled to decrease the tracer to 5% (or 1/20th) of its initial concentration.,2,Pulmonary Function Test (C38081); Lung Clearance Index (C124425); Lung Clearance Index to 5% Initial Concentration (C201472),2
Malignant Disease Indicator,C161423,Malignant Disease Indicator (C161423),C181043,Respiratory System Findings,Malignancy Indicator;MALIND,Nominal,An indication as to whether a malignancy is present.,1,Clinical Findings Indicator (C181043); Malignant Disease Indicator (C161423),2
Mandibular Length,C174233,Mandibular Length (C174233),,Vital Signs;Body Measurements,MANDL,Quantitative,A measurement of the length of the mandible.,0,Mandibular Length (C174233),3
Maximal Expiratory Pressure,C135494,Maximal Expiratory Pressure (C135494),C38081,Respiratory System Findings;Pulmonary Function Test,MEP,Quantitative,"The greatest amount of pressure that can be generated by exhaling against a mouthpiece, which is a measure of the strength of respiratory muscles.",1,Pulmonary Function Test (C38081); Maximal Expiratory Pressure (C135494),3
Maximal Inspiratory Pressure,C135496,Maximal Inspiratory Pressure (C135496),C38081,Respiratory System Findings;Pulmonary Function Test,MIP;Negative Inspiratory Force;NIF,Quantitative,"The greatest amount of pressure that can be generated during inhalation against a fully occluded airway, which is used to measure the strength of respiratory muscles.",1,Pulmonary Function Test (C38081); Maximal Inspiratory Pressure (C135496),3
"Maximal Oxygen Consumption, Estimated",C174363,"Maximal Oxygen Consumption, Estimated (C174363)",C123570,Respiratory System Findings,Estimated Maximal Aerobic Capacity;VO2MAXE,Quantitative,The predicted maximum rate of oxygen uptake that is derived from physiological responses to submaximal exercise performance and is used as a measure of cardiorespiratory fitness.,2,"Pulmonary Function Test (C38081); Oxygen Consumption (C123570); Maximal Oxygen Consumption, Estimated (C174363)",3
Maximal Oxygen Uptake,C178242,Maximal Oxygen Uptake (C178242),C45233,Respiratory System Findings,Maximal Oxygen Consumption;VO2MAX;V'O2 Max;VO2 Max;VO2max,Quantitative,The point at which oxygen uptake no longer increases and beyond which no level of effort can raise it.,1,Respiratory System Finding (C45233); Maximal Oxygen Uptake (C178242),3
Maximum Forced Inspiratory Flow,C112333,Maximum Forced Inspiratory Flow (C112333),C38081,Respiratory System Findings;Pulmonary Function Test,FIFMAX;FIFmax,Quantitative,Forced inspiratory flow for a portion of the FVC curve at the point where the maximum portion of FVC is already inhaled. (CDISC),1,Pulmonary Function Test (C38081); Maximum Forced Inspiratory Flow (C112333),3
Maximum Predicted Heart Rate,C147492,Maximum Predicted Heart Rate (C147492),C49677,Vital Signs,MAXPREHR,Quantitative,"The predicted upper limit for an individual's heart rate, which is calculated as 220 minus the subject's age for men, and 210 minus the subject's age for women.",0,Maximum Predicted Heart Rate (C147492),3
Mean Arterial Pressure,C49679,Mean Arterial Pressure (C49679),C54706,Vital Signs;Blood Pressure,MAP,Quantitative,"The mean pressure of the blood within the arterial circulation. The arterial pressure may be directly measured by insertion of an intra-arterial catheter connected to a transducer. The mean arterial pressure (MAP) can be calculated by subsequent analysis of the waveform. MAP can be approximated without an invasive procedure using the following formula: diastolic pressure plus 1/3 of the pulse pressure, where pulse pressure is systolic pressure - diastolic pressure.",0,Mean Arterial Pressure (C49679),3
Mean Carbon Monoxide Diffusing Capability Test,C123564,Mean Carbon Monoxide Diffusing Capability Test (C123564),C38083,Respiratory System Findings,DLCOM;Mean Diffusion Capacity of Lung for CO;Mean TLCO,Quantitative,The mean volume of the carbon monoxide that is transferred from inspired gas into the pulmonary capillary blood.,2,Pulmonary Function Test (C38081); Carbon Monoxide Diffusing Capability Test (C38083); Mean Carbon Monoxide Diffusing Capability Test (C123564),3
Mid-Upper Arm Circumference,C124475,Mid-Upper Arm Circumference (C124475),C172255,Vital Signs;Body Measurements,MUARMCIR,Quantitative,A circumferential measurement of the largest part of the upper arm.,1,Anatomical Circumference (C172255); Mid-Upper Arm Circumference (C124475),3
Minute Volume,C120936,Minute Volume (C120936),C38081,Respiratory System Findings;Pulmonary Function Test,Minute Ventilation;MV;VE,Quantitative,The volume of gas inhaled or exhaled from the lungs during sixty seconds.,1,Pulmonary Function Test (C38081); Minute Volume (C120936),3
Neck Circumference,C154891,Neck Circumference (C154891),C172255,Vital Signs;Body Measurements,NECKCIR,Quantitative,"A circumferential measurement of the neck, just below the larynx.",1,Anatomical Circumference (C172255); Neck Circumference (C154891),3
Organism Characteristic,C171083,Organism Characteristic (C171083),C25447,Characteristic,,,A characteristic or attribute inherent or inherited to an organism.,0,Organism Characteristic (C171083),0
Oxygen Consumption,C123570,Oxygen Consumption (C123570),C38081,Respiratory System Findings;Pulmonary Function Test,VO2,Quantitative,The rate at which oxygen is absorbed and utilized by any given tissue in the body.,1,Pulmonary Function Test (C38081); Oxygen Consumption (C123570),3
Oxygen Pulse,C123566,Oxygen Pulse (C123566),C38081,Respiratory System Findings;Pulmonary Function Test,OXYPULSE,Quantitative,The volume of oxygen consumed by the body per heartbeat while at rest.,1,Pulmonary Function Test (C38081); Oxygen Pulse (C123566),3
Oxygen Saturation Measurement,C60832,Oxygen Saturation Measurement (C60832),C215116,Respiratory System Findings;Vital Signs;Oxygen Saturation Measurements;Oximetry Tests,Blood Oxygen Saturation;Hemoglobin Saturation Measurement;Hemoglobin Saturation;O2 Saturation;Oximetry;Oxygen Content Measurement;Oxygen Saturation;OXYSAT;SpO2;Vital Signs - Oxygen Saturation,Quantitative,The measurement of the ratio of oxygenated hemoglobin to total hemoglobin in the blood.,1,Body Organ or System Test (C215116); Oxygen Saturation Measurement (C60832),6
Oxygen Saturation/Fraction Inspired O2,C174311,Oxygen Saturation/Fraction Inspired O2 (C174311),C38081,Respiratory System Findings;Pulmonary Function Test;Vital Signs;Oxygen Saturation Measurements,SAO2FIO2,Quantitative,A relative measurement (ratio or percentage) of the oxygen-hemoglobin saturation of a volume of blood to the volumetric fraction of oxygen in the inhaled gas.,1,Pulmonary Function Test (C38081); Oxygen Saturation/Fraction Inspired O2 (C174311),3
Oxygenation Index,C189635,Oxygenation Index (C189635),C38081,Respiratory System Findings;Pulmonary Function Test,OI,Quantitative,"A measurement of the efficiency of oxygen exchange by the lungs, which is calculated by multiplying the fraction of inspired oxygen (FiO2) (in %) to mean airway pressure (Mpaw) and dividing by pressure of arterial oxygen (PaO2).",1,Pulmonary Function Test (C38081); Oxygenation Index (C189635),2
Peak Cough Flow,C135498,Peak Cough Flow (C135498),C38081,Respiratory System Findings;Pulmonary Function Test,PCF;Cough Peak Flow;CPF,Quantitative,"The maximum rate of air flow expelled through the mouth, endotracheal, or tracheostomy tube during a cough.",1,Pulmonary Function Test (C38081); Peak Cough Flow (C135498),3
Peak Expiratory Flow,C41372,Peak Expiratory Flow (C41372),C38081,Respiratory System Findings;Pulmonary Function Test,PEF,Quantitative,"The maximum rate of gas flow, beginning at the point of peak inspiratory capacity, that can be sustained during forced exhalation for a defined period of time. This test is most often used in combination with other studies of lung function to diagnose and monitor obstructive and restrictive lung disease(s).",1,Pulmonary Function Test (C38081); Peak Expiratory Flow (C41372),3
Peak Expiratory Flow Reversibility,C112368,Peak Expiratory Flow Reversibility (C112368),C38081,Respiratory System Findings;Pulmonary Function Test,PEF Reversibility;PEFREV,Quantitative,The change in PEF following administration of a bronchodilator relative to the pre-treatment PEF value. (CDISC),1,Pulmonary Function Test (C38081); Peak Expiratory Flow Reversibility (C112368),2
Peak Expiratory Flow Time,C139259,Peak Expiratory Flow Time (C139259),C38081,Respiratory System Findings;Pulmonary Function Test,PEFTIME;PEF Time,Quantitative,The time from the start of the test until the subject reaches his maximum expiratory gas flow rate.,1,Pulmonary Function Test (C38081); Peak Expiratory Flow Time (C139259),3
Peak Inspiratory Flow Rate,C120939,Peak Inspiratory Flow Rate (C120939),C38081,Respiratory System Findings;Pulmonary Function Test,Peak Inspiratory Flow;PIF;PKINSFL,Quantitative,The fastest flow rate of gas noted during the inspiratory cycle.,1,Pulmonary Function Test (C38081); Peak Inspiratory Flow Rate (C120939),3
Peak Nasal Inspiratory Flow,C119547,Peak Nasal Inspiratory Flow (C119547),C38081,Respiratory System Findings;Pulmonary Function Test,PNIF,Quantitative,The maximal flow achieved during the maximally forced inspiration through the nose initiated at maximum exhalation.,1,Pulmonary Function Test (C38081); Peak Nasal Inspiratory Flow (C119547),3
Percent Predicted Airway Resistance,C170623,Percent Predicted Airway Resistance (C170623),C38081,Respiratory System Findings;Pulmonary Function Test,RAWPP,Quantitative,"A measurement of respiratory tract resistance to airflow during inspiration and expiration, as a proportion of the predicted normal value.",1,Pulmonary Function Test (C38081); Percent Predicted Airway Resistance (C170623),3
Percent Predicted Airway Volume,C170621,Percent Predicted Airway Volume (C170621),C170457,Respiratory System Findings,AWVOLPP,Quantitative,"The total volume of gas in a specified airway or set of airways at a specified point in time in the respiratory cycle, expressed as a proportion of the predicted normal value.",2,Volume (C25335); Airway Volume (C170457); Percent Predicted Airway Volume (C170621),3
Percent Predicted Diffusion Capacity of the Lung for Carbon Monoxide,C120829,Percent Predicted Diffusion Capacity of the Lung for Carbon Monoxide (C120829),C38081,Respiratory System Findings;Pulmonary Function Test,DLCOPP;Percent Predicted DLCO,Quantitative,"The degree to which inhaled carbon monoxide diffuses from the alveoli into the blood, expressed as a proportion of the predicted normal value.",1,Pulmonary Function Test (C38081); Percent Predicted Diffusion Capacity of the Lung for Carbon Monoxide (C120829),3
Percent Predicted Diffusion Capacity of the Lung for Carbon Monoxide/Alveolar Volume Ratio,C120831,Percent Predicted Diffusion Capacity of the Lung for Carbon Monoxide/Alveolar Volume Ratio (C120831),C38081,Respiratory System Findings;Pulmonary Function Test,DLCOVAPP;Percent Predicted DLCO/VA,Quantitative,"The calculated ratio of the lung's alveolar volume with respect to its diffusion capacity for carbon monoxide, expressed as a proportion of the predicted normal value.",1,Pulmonary Function Test (C38081); Percent Predicted Diffusion Capacity of the Lung for Carbon Monoxide/Alveolar Volume Ratio (C120831),3
Percent Predicted Expiratory Reserve Volume,C112375,Percent Predicted Expiratory Reserve Volume (C112375),C38081,Respiratory System Findings;Pulmonary Function Test,ERVPP;Percent Predicted ERV,Quantitative,The maximum volume of air a subject can exhale from the lungs after a tidal exhalation as a proportion of the predicted normal value. (CDISC),1,Pulmonary Function Test (C38081); Percent Predicted Expiratory Reserve Volume (C112375),3
Percent Predicted Expiratory Vital Capacity,C199984,Percent Predicted Expiratory Vital Capacity (C199984),C147484,Respiratory System Findings,EVCPP;Percent Predicted EVC,Quantitative,The maximum volume of air an individual can exhale from the point of maximal inhalation as a percentage of the predicted normal value.,2,Pulmonary Function Test (C38081); Expiratory Vital Capacity (C147484); Percent Predicted Expiratory Vital Capacity (C199984),3
Percent Predicted Forced Expiratory Flow at 25-75 Percent,C119546,Percent Predicted Forced Expiratory Flow at 25-75 Percent (C119546),C38081,Respiratory System Findings;Pulmonary Function Test,FEF2575P;Percent Predicted FEF25-75;FEF at 25-75%,Quantitative,The mean forced expiratory flow rate at 25-75% of the forced vital capacity as a proportion of the predicted normal value.,1,Pulmonary Function Test (C38081); Percent Predicted Forced Expiratory Flow at 25-75 Percent (C119546),3
Percent Predicted Forced Expiratory Volume in 1 Second,C112376,Percent Predicted Forced Expiratory Volume in 1 Second (C112376),C38081,Respiratory System Findings;Pulmonary Function Test,FEV1PP;Percent Predicted FEV1,Quantitative,Forced expiratory volume in one second as a proportion of the predicted normal value. (CDISC),1,Pulmonary Function Test (C38081); Percent Predicted Forced Expiratory Volume in 1 Second (C112376),3
Percent Predicted Forced Expiratory Volume in 1 Second Divided by Forced Vital Capacity,C112377,Percent Predicted Forced Expiratory Volume in 1 Second Divided by Forced Vital Capacity (C112377),C38081,Respiratory System Findings;Pulmonary Function Test,FEV1FVCP;Percent Predicted FEV1/FVC,Quantitative,The proportion of total forced vital capacity that is expelled during the first second of a forced exhalation as a proportion of the predicted normal value. (CDISC),1,Pulmonary Function Test (C38081); Percent Predicted Forced Expiratory Volume in 1 Second Divided by Forced Vital Capacity (C112377),3
Percent Predicted Forced Expiratory Volume in 3 Seconds,C170627,Percent Predicted Forced Expiratory Volume in 3 Seconds (C170627),C38081,Respiratory System Findings;Pulmonary Function Test,FEV3PP;Percent Predicted FEV3,Quantitative,Forced expiratory volume in three seconds as a proportion of the predicted normal value.,1,Pulmonary Function Test (C38081); Percent Predicted Forced Expiratory Volume in 3 Seconds (C170627),3
Percent Predicted Forced Expiratory Volume in 6 Seconds,C112378,Percent Predicted Forced Expiratory Volume in 6 Seconds (C112378),C38081,Respiratory System Findings;Pulmonary Function Test,FEV6PP;Percent Predicted FEV6,Quantitative,Forced expiratory volume in six seconds as a proportion of the predicted normal value. (CDISC),1,Pulmonary Function Test (C38081); Percent Predicted Forced Expiratory Volume in 6 Seconds (C112378),3
Percent Predicted Forced Inspiratory Flow Maximum,C112379,Percent Predicted Forced Inspiratory Flow Maximum (C112379),C38081,Respiratory System Findings;Pulmonary Function Test,FIFMAXPP;Percent Predicted FIFmax,Quantitative,Forced inspiratory flow for a portion of the FVC curve at the point where the maximum portion of FVC is already inhaled as a proportion of the predicted normal value. (CDISC),1,Pulmonary Function Test (C38081); Percent Predicted Forced Inspiratory Flow Maximum (C112379),3
Percent Predicted Forced Inspiratory Volume in 1 Second,C112380,Percent Predicted Forced Inspiratory Volume in 1 Second (C112380),C38081,Respiratory System Findings;Pulmonary Function Test,FIV1PP;Percent Predicted FIV1,Quantitative,The volume of air that a subject can breathe in during the first second of inhalation after maximum exhalation as a proportion of the predicted normal value. (CDISC),1,Pulmonary Function Test (C38081); Percent Predicted Forced Inspiratory Volume in 1 Second (C112380),3
Percent Predicted Forced Vital Capacity,C112381,Percent Predicted Forced Vital Capacity (C112381),C38081,Respiratory System Findings;Pulmonary Function Test,FVCPP;Percent Predicted FVC,Quantitative,Forced vital capacity as a proportion of the predicted normal value. (CDISC),1,Pulmonary Function Test (C38081); Percent Predicted Forced Vital Capacity (C112381),3
Percent Predicted Functional Residual Capacity,C126052,Percent Predicted Functional Residual Capacity (C126052),C38081,Respiratory System Findings;Pulmonary Function Test,FRCPP;Percent Predicted FRC,Quantitative,The volume of air remaining in the lungs after a normal exhalation as a proportion of the predicted normal value. (CDISC),1,Pulmonary Function Test (C38081); Percent Predicted Functional Residual Capacity (C126052),3
Percent Predicted Hemoglobin Corrected Diffusion Capacity of the Lung for Carbon Monoxide,C120826,Percent Predicted Hemoglobin Corrected Diffusion Capacity of the Lung for Carbon Monoxide (C120826),C38081,Respiratory System Findings;Pulmonary Function Test,DLCOHCPP;Percent Predicted HGB Corrected DLCO,Quantitative,"The diffusion capacity of the lungs for carbon monoxide adjusted for hemoglobin concentration, expressed as a proportion of the predicted normal value.",1,Pulmonary Function Test (C38081); Percent Predicted Hemoglobin Corrected Diffusion Capacity of the Lung for Carbon Monoxide (C120826),3
Percent Predicted Hemoglobin Corrected Diffusion Capacity of the Lung for Carbon Monoxide/Alveolar Volume Ratio,C120828,Percent Predicted Hemoglobin Corrected Diffusion Capacity of the Lung for Carbon Monoxide/Alveolar Volume Ratio (C120828),C38081,Respiratory System Findings;Pulmonary Function Test,DLCOHVAP;Percent Predicted HGB Corrected DLCO/VA,Quantitative,"The diffusion capacity of the lungs for carbon monoxide adjusted for the ratio of hemoglobin concentration to alveolar volume, and expressed as a proportion of the predicted normal value.",1,Pulmonary Function Test (C38081); Percent Predicted Hemoglobin Corrected Diffusion Capacity of the Lung for Carbon Monoxide/Alveolar Volume Ratio (C120828),3
Percent Predicted Inspiratory Capacity,C112382,Percent Predicted Inspiratory Capacity (C112382),C38081,Respiratory System Findings;Pulmonary Function Test,ICPP;Percent Predicted IC,Quantitative,The maximum volume of air a subject can inhale into the lungs after a tidal exhalation (IRV plus TV) as a proportion of the predicted normal value. (CDISC),1,Pulmonary Function Test (C38081); Percent Predicted Inspiratory Capacity (C112382),3
Percent Predicted Inspiratory Reserve Volume,C112383,Percent Predicted Inspiratory Reserve Volume (C112383),C38081,Respiratory System Findings;Pulmonary Function Test,IRVPP;Percent Predicted IRV,Quantitative,The maximum volume of air a subject can inhale into the lungs after a tidal inhalation as a proportion of the predicted normal value. (CDISC),1,Pulmonary Function Test (C38081); Percent Predicted Inspiratory Reserve Volume (C112383),3
Percent Predicted Inspiratory Vital Capacity,C124424,Percent Predicted Inspiratory Vital Capacity (C124424),C38081,Respiratory System Findings;Pulmonary Function Test,IVCPP;Percent Predicted IVC,Quantitative,"The maximum volume of gas an individual can inhale from the point of maximal exhalation expressed as a percentage of the expected result value for healthy individuals of similar age, sex, height, and race.",1,Pulmonary Function Test (C38081); Percent Predicted Inspiratory Vital Capacity (C124424),3
Percent Predicted Lobar Volume,C174361,Percent Predicted Lobar Volume (C174361),C174232,Respiratory System Findings,LOBVOLPP,Quantitative,"The total volume of gas in a lobe of the lung at a specified point in time during the respiratory cycle, as a proportion of the predicted normal value.",2,Pulmonary Function Test (C38081); Lobar Volume (C174232); Percent Predicted Lobar Volume (C174361),3
Percent Predicted Maximal Expiratory Pressure,C135495,Percent Predicted Maximal Expiratory Pressure (C135495),C38081,Respiratory System Findings;Pulmonary Function Test,MEPPP;Percent Predicted MEP,Quantitative,"The greatest amount of pressure that can be generated by exhaling against a mouthpiece, which is a measure of the strength of respiratory muscles expressed as a proportion of the predicted normal value.",1,Pulmonary Function Test (C38081); Percent Predicted Maximal Expiratory Pressure (C135495),3
Percent Predicted Maximal Inspiratory Pressure,C135497,Percent Predicted Maximal Inspiratory Pressure (C135497),C38081,Respiratory System Findings;Pulmonary Function Test,MIPPP;Percent Predicted MIP,Quantitative,"The greatest amount of pressure that can be generated during inhalation against a fully occluded airway, which is used to measure the strength of respiratory muscles expressed as a proportion of the predicted normal value.",1,Pulmonary Function Test (C38081); Percent Predicted Maximal Inspiratory Pressure (C135497),3
Percent Predicted Peak Expiratory Flow,C112384,Percent Predicted Peak Expiratory Flow (C112384),C38081,Respiratory System Findings;Pulmonary Function Test,PEFPP;Percent Predicted PEF,Quantitative,The maximal flow achieved during the maximally forced expiration initiated at maximum inhalation as a proportion of the predicted normal value. (CDISC),1,Pulmonary Function Test (C38081); Percent Predicted Peak Expiratory Flow (C112384),3
Percent Predicted Residual Volume,C112385,Percent Predicted Residual Volume (C112385),C38081,Respiratory System Findings;Pulmonary Function Test,RVPP,Quantitative,The volume of air remaining in the lungs after maximum exhalation as a proportion of the predicted normal value. (CDISC),1,Pulmonary Function Test (C38081); Percent Predicted Residual Volume (C112385),3
Percent Predicted Slow Vital Capacity,C112386,Percent Predicted Slow Vital Capacity (C112386),C38081,Respiratory System Findings;Pulmonary Function Test,SVCPP;Percent Predicted SVC,Quantitative,The maximum volume of air that can be exhaled after slow maximum inhalation as a proportion of the predicted normal value. (CDISC),1,Pulmonary Function Test (C38081); Percent Predicted Slow Vital Capacity (C112386),3
Percent Predicted Specific Airway Resistance,C170624,Percent Predicted Specific Airway Resistance (C170624),C38081,Respiratory System Findings;Pulmonary Function Test,Percent Predicted Sp Airway Resistance;SRAWPP,Quantitative,"A measurement used to describe airway behavior irrespective of lung volume; it is calculated as airway resistance (Raw) multiplied by functional residual capacity (FRC), as a proportion of the predicted normal value.",1,Pulmonary Function Test (C38081); Percent Predicted Specific Airway Resistance (C170624),3
Percent Predicted Specific Airway Volume,C170622,Percent Predicted Specific Airway Volume (C170622),C170457,Respiratory System Findings,SAWVOLPP,Quantitative,"A parameter used in functional respiratory imaging, derived by dividing the airway volume of a specified intrapulmonary region by the total volume of the same specified intrapulmonary region, expressed as a proportion of the predicted normal value.",2,Volume (C25335); Airway Volume (C170457); Percent Predicted Specific Airway Volume (C170622),3
Percent Predicted Tidal Volume,C112387,Percent Predicted Tidal Volume (C112387),C38081,Respiratory System Findings;Pulmonary Function Test,TVPP,Quantitative,The volume of air moved into and out of the lungs during breathing at rest as a proportion of the predicted normal value. (CDISC),1,Pulmonary Function Test (C38081); Percent Predicted Tidal Volume (C112387),3
Percent Predicted Total Lung Capacity,C112388,Percent Predicted Total Lung Capacity (C112388),C38081,Respiratory System Findings;Pulmonary Function Test,TLCPP,Quantitative,The total volume of air in the lungs after maximum inhalation as a proportion of the predicted normal value. (CDISC),1,Pulmonary Function Test (C38081); Percent Predicted Total Lung Capacity (C112388),3
Peripheral Body Temperature,C174371,Peripheral Body Temperature (C174371),C164325,Vital Signs;Temperature,TEMPPB,Quantitative,A measurement of the temperature on the surfaces of the outer areas or boundaries of the body.,1,Body Temperature Measurement (C164325); Peripheral Body Temperature (C174371),4
Physical Examination,C20989,Physical Examination (C20989),,Physical Examination,General Examination;Physical Exam;PHYSICAL EXAM;PHYSICAL EXAMINATION;physical exam;physical_exam;Physical examination procedure (procedure);assessment;physical examination;Assessment;Physical;Physical Assessment;Physical exam,,"A systemic evaluation of the body and its functions using visual inspection, palpation, percussion and auscultation. The purpose is to determine the presence or absence of physical signs of disease or abnormality for an individual's health assessment.",0,Physical Examination (C20989),0
Pneumonia Indicator,C171521,Pneumonia Indicator (C171521),C181043,Clinical Findings Indicators;Respiratory System Findings,PNEUMIND,Nominal,An indication as to whether pneumonia has occurred.,1,Clinical Findings Indicator (C181043); Pneumonia Indicator (C171521),2
Pulmonary Function Test,C38081,Pulmonary Function Test (C38081),,Respiratory System Findings;Pulmonary Function Tests;Vital Signs,Pulmonary Function Test;lung function test;PFT;Pulmonary Function Testing,,A broad range of tests that are performed to assess how well lungs inhale and exhale air and how efficiently they transfer oxygen into the blood.,0,Pulmonary Function Test (C38081),0
Pulmonary Inertance,C139254,Pulmonary Inertance (C139254),C38081,Respiratory System Findings;Pulmonary Function Test,INERTANC;Inertance,Quantitative,The measure of the force of the column of air in the conducting airways.,1,Pulmonary Function Test (C38081); Pulmonary Inertance (C139254),2
Pulmonary Reactance,C123567,Pulmonary Reactance (C123567),C38081,Respiratory System Findings;Pulmonary Function Test,PLMXRS,Quantitative,"The measurement of the ability of the lung to store energy, which is required for passive expiration. Reactance consists of two components: the negative component reflects capacitive behavior (C) and corresponds to both the thoraco-pulmonary elasticity and to changes in the available lung volumes in the distal compartments of the lung; the positive component of reactance has inertial characteristics (I) describing the moving air column in the bronchial tree.",1,Pulmonary Function Test (C38081); Pulmonary Reactance (C123567),2
Pulse Pressure,C100945,Pulse Pressure (C100945),C19332,Vital Signs;Blood Pressure,PULSEPR,Quantitative,The force of a heart contraction measured by the difference between the diastolic and systolic blood pressure measurements.,0,Pulse Pressure (C100945),4
Quasi-Static Compliance,C139255,Quasi-Static Compliance (C139255),C38081,Respiratory System Findings;Pulmonary Function Test,QUASCOMP,Quantitative,The static elastic recoil pressure of the lungs at a given lung volume.,1,Pulmonary Function Test (C38081); Quasi-Static Compliance (C139255),3
Residual Volume,C89836,Residual Volume (C89836),C38081,Respiratory System Findings;Pulmonary Function Test,RV,Quantitative,The volume of air remaining in the lungs after a maximal exhalation.,1,Pulmonary Function Test (C38081); Residual Volume (C89836),3
Respiratory Exchange Ratio,C123568,Respiratory Exchange Ratio (C123568),C38081,Respiratory System Findings;Pulmonary Function Test,RER,Quantitative,"The ratio of the amount of carbon dioxide produced to the amount of oxygen consumed in one breath. This ratio is used to estimate the respiratory quotient, which indicates what type of fuel source the body is metabolising to provide energy.",1,Pulmonary Function Test (C38081); Respiratory Exchange Ratio (C123568),3
Respiratory System Examination,C198356,Respiratory System Examination (C198356),C215116,Respiratory System Findings,REEXAM,Nominal;Narrative,"An observation, assessment or examination of the respiratory system.",1,Body Organ or System Test (C215116); Respiratory System Examination (C198356),2
Respiratory System Finding,C45233,Respiratory System Finding (C45233),,Respiratory System Findings,Respiratory;RESPIRATORY SYSTEM;Respiratory Finding,,"Symptoms, physical examination results, and/or laboratory test results related to the respiratory system.",0,Respiratory System Finding (C45233),0
Sagittal Abdominal Diameter,C87054,Sagittal Abdominal Diameter (C87054),C25285,Vital Signs;Body Measurements,SAD,Quantitative,"A standard measure of visceral obesity, or abdominal fat, which is measured from the patient's back to upper abdomen between the bottom of the rib cage and the top of the pelvic area. This measurement may be taken with the patient standing or in the supine position.",0,Sagittal Abdominal Diameter (C87054),3
Salazar-Knowles Equation Parameter A,C139256,Salazar-Knowles Equation Parameter A (C139256),C38081,Respiratory System Findings;Pulmonary Function Test,SALKA,Quantitative,"A representation of the exponential function described by the Salazar-Knowles equation, and an estimation of a subject's inspiratory capacity.",1,Pulmonary Function Test (C38081); Salazar-Knowles Equation Parameter A (C139256),2
Salazar-Knowles Equation Parameter B,C139257,Salazar-Knowles Equation Parameter B (C139257),C38081,Respiratory System Findings;Pulmonary Function Test,SALKB,Quantitative,The difference between the volume at total lung capacity and the hypothesized volume at a transpulmonary pressure of zero.,1,Pulmonary Function Test (C38081); Salazar-Knowles Equation Parameter B (C139257),2
"Salazar-Knowles Equation, K Parameter",C139258,"Salazar-Knowles Equation, K Parameter (C139258)",C38081,Respiratory System Findings;Pulmonary Function Test,"Salazar-Knowles Equation, K;SALKK",Quantitative,The reflection of the curvature of the upper portion of the deflationary limb of the pressure-volume curve.,1,"Pulmonary Function Test (C38081); Salazar-Knowles Equation, K Parameter (C139258)",2
Second Ventilatory Threshold,C204693,Second Ventilatory Threshold (C204693),C123909,Respiratory System Findings,Anaerobic Threshold;Lactate Threshold;Respiratory Compensation Threshold;Ventilatory Threshold 2;VT2,Quantitative,The point during activity or exercise at which the effort to ventilate increases such that the exerciser experiences duress and can no longer speak. This threshold is characterized by anaerobic metabolism and lactate buildup.,1,Ventilatory Threshold (C123909); Second Ventilatory Threshold (C204693),3
Skinfold Thickness Analysis,C77537,Skinfold Thickness Analysis (C77537),,Vital Signs;Body Measurements,Skinfold Test,,Techniques for estimating body fat whereby a pinch of skin is precisely measured by calipers at several standardized points on the body to determine the subcutaneous fat layer thickness. These measurements are converted to an estimated body fat percentage by an equation.,0,Skinfold Thickness Analysis (C77537),0
Slow Vital Capacity,C111315,Slow Vital Capacity (C111315),C38081,Respiratory System Findings;Pulmonary Function Test,SVC,Quantitative,The maximum volume of air that can be exhaled after slow maximum inhalation.,1,Pulmonary Function Test (C38081); Slow Vital Capacity (C111315),3
Specific Airway Conductance,C122186,Specific Airway Conductance (C122186),C38081,Respiratory System Findings;Pulmonary Function Test,SGAW;sGaw,Quantitative,A measurement of the airway conductance relative to lung volume.,1,Pulmonary Function Test (C38081); Specific Airway Conductance (C122186),2
Specific Airway Resistance,C123569,Specific Airway Resistance (C123569),C38081,Respiratory System Findings;Pulmonary Function Test,SRAW;sRAW,Quantitative,A measurement used to describe airway behavior irrespective of lung volume; it is calculated as airway resistance (Raw) multiplied by functional residual capacity (FRC).,1,Pulmonary Function Test (C38081); Specific Airway Resistance (C123569),3
